pathway	p_value	Freq_of_paths	count_lists_with_drugs	normalised_freq.freq.max.	normalised_count_lists_with_drugs	sum_of_norm_freq_norm_count_lists	product_of_norm_freq_norm_count_lists	score
Thyroid cancer	2.02e-05	54	25	0.219512195	0.609756098	0.829268293	0.133848899	0.4536585368
Thyroid hormone signaling pathway	0.886633939	71	22	0.288617886	0.536585366	0.825203252	0.154868134	0.437398374
Thyroid hormone synthesis	0.048957719	21	14	0.085365854	0.341463415	0.426829268	0.029149316	0.2390243906
Tight junction	0.000532377	57	23	0.231707317	0.56097561	0.792682927	0.129982153	0.4292682928
TNF signaling pathway	0.9659687	53	21	0.215447154	0.512195122	0.727642276	0.110350982	0.3934959348
Toll-like receptor signaling pathway	0.99966339	26	14	0.105691057	0.341463415	0.447154472	0.036089629	0.2471544718
Toxoplasmosis	0.9996134	41	19	0.166666667	0.463414634	0.630081301	0.077235772	0.3447154472
Transcriptional misregulation in cancer	2.68e-05	96	29	0.390243902	0.707317073	1.097560976	0.276026175	0.5804878046
Tryptophan metabolism	0.97305704	12	11	0.048780488	0.268292683	0.317073171	0.013087448	0.180487805
Tuberculosis	0.241720472	66	29	0.268292683	0.707317073	0.975609756	0.189767995	0.531707317
Type I diabetes mellitus	0.589379702	7	7	0.028455285	0.170731707	0.199186992	0.004858219	0.1138211382
Type II diabetes mellitus	0.514166483	45	24	0.182926829	0.585365854	0.768292683	0.10707912	0.424390244
Tyrosine metabolism	0.726961204	16	12	0.06504065	0.292682927	0.357723577	0.019036288	0.2016260162
Ubiquinone and other terpenoid-quinone biosynthesis	0.943490354	1	1	0.004065041	0.024390244	0.028455285	9.91473e-05	0.0162601628
Valine, leucine and isoleucine degradation	0.630785917	6	6	0.024390244	0.146341463	0.170731707	0.003569304	0.0975609754
Vascular smooth muscle contraction	0.000109236	108	35	0.43902439	0.853658537	1.292682927	0.374776919	0.6878048782
Vasopressin-regulated water reabsorption	0.729409215	4	4	0.016260163	0.097560976	0.113821138	0.001586357	0.0650406508
VEGF signaling pathway	0.17230905	79	22	0.321138211	0.536585366	0.857723577	0.172318065	0.450406504
Vibrio cholerae infection	0.028402056	19	14	0.077235772	0.341463415	0.418699187	0.026373191	0.2357723578
Viral carcinogenesis	0.990844179	48	23	0.195121951	0.56097561	0.756097561	0.109458656	0.4146341464
Viral myocarditis	1.72e-05	23	15	0.093495935	0.365853659	0.459349593	0.03420583	0.2569105694
Viral protein interaction with cytokine and cytokine receptor	0.462369409	17	11	0.069105691	0.268292683	0.337398374	0.018540551	0.1886178862
Vitamin digestion and absorption	0.104591909	7	5	0.028455285	0.12195122	0.150406504	0.003470157	0.084552846
Wnt signaling pathway	0.859722518	25	15	0.101626016	0.365853659	0.467479675	0.03718025	0.2601626018
Yersinia infection	0.999803545	37	17	0.150406504	0.414634146	0.56504065	0.062363672	0.3089430892
