drug name	moa
cefalonium	bacterial cell wall synthesis inhibitor
cefamandole	bacterial cell wall synthesis inhibitor
cefamandole-nafate	bacterial cell wall synthesis inhibitor
cefathiamidine	bacterial cell wall synthesis inhibitor
cefazolin	bacterial cell wall synthesis inhibitor
cefcapene-pivoxil	bacterial cell wall synthesis inhibitor
cefdinir	bacterial cell wall synthesis inhibitor
cefditoren-pivoxil	bacterial cell wall synthesis inhibitor
cefepime	bacterial cell wall synthesis inhibitor
cefetamet	bacterial cell wall synthesis inhibitor
cefetamet-pivoxil	bacterial cell wall synthesis inhibitor
cefiderocol	antibacterial 
cefixime	bacterial cell wall synthesis inhibitor
cefmenoxime	bacterial cell wall synthesis inhibitor
cefmetazole	bacterial cell wall synthesis inhibitor
cefminox	bacterial cell wall synthesis inhibitor
cefodizime	bacterial cell wall synthesis inhibitor
cefonicid	bacterial cell wall synthesis inhibitor
cefoperazone	bacterial cell wall synthesis inhibitor
ceforanide	penicillin binding protein inhibitor
cefoselis	bacterial cell wall synthesis inhibitor
cefotaxime	bacterial cell wall synthesis inhibitor
cefotetan	bacterial cell wall synthesis inhibitor
cefotiam	bacterial cell wall synthesis inhibitor
cefotiam-cilexetil	bacterial cell wall synthesis inhibitor
cefoxitin	bacterial cell wall synthesis inhibitor
cefozopran	bacterial cell wall synthesis inhibitor
cefpiramide	bacterial cell wall synthesis inhibitor
cefpirome	bacterial cell wall synthesis inhibitor
cefpodoxime	bacterial cell wall synthesis inhibitor
cefprozil	bacterial cell wall synthesis inhibitor
cefradine	bacterial cell wall synthesis inhibitor
cefsulodin	bacterial cell wall synthesis inhibitor
ceftaroline-fosamil	bacterial cell wall synthesis inhibitor
ceftazidime	bacterial cell wall synthesis inhibitor
ceftibuten	bacterial cell wall synthesis inhibitor
ceftiofur	bacterial cell wall synthesis inhibitor
ceftizoxim	bacterial cell wall synthesis inhibitor
ceftobiprole	antiinfective drug
ceftriaxone	bacterial cell wall synthesis inhibitor
cefuroxime	bacterial cell wall synthesis inhibitor
cefuroxime-axetil	bacterial cell wall synthesis inhibitor
celecoxib	cyclooxygenase inhibitor
celgosivir	glucosidase inhibitor
celiprolol	adrenergic receptor antagonist
cenerimod	sphingosine 1-phosphate receptor modulator
cenicriviroc	CC chemokine receptor antagonist
cenobamate	GABA receptor modulator
cenobamate	voltage-gated sodium channel blocker
centanafadine	dopamine reuptake inhibitor
centazolone	monoamine oxidase inhibitor
centhaquin	analgesic agent
centpropazine	inositol monophosphatase inhibitor
cep-32496	RAF inhibitor
cep-33779	JAK inhibitor
cep-37440	ALK tyrosine kinase receptor inhibitor
cep-40783	AXL kinase inhibitor
cephalexin	bacterial cell wall synthesis inhibitor
cephalomannine	DNA polymerase inhibitor
cephalosporin-c-zn	bacterial cell wall synthesis inhibitor
cephalothin	bacterial cell wall synthesis inhibitor
cephapirin	bacterial cell wall synthesis inhibitor
cepharanthine	NFkB pathway inhibitor
cephradine	bacterial cell wall synthesis inhibitor
ceramide	phosphoenolpyruvate carboxylase activator
ceramide	serine/threonine protein phosphatase activator
ceritinib	ALK tyrosine kinase receptor inhibitor
cerulenin	fatty acid synthase inhibitor
ceruletide	CCK receptor agonist
cetaben	ACAT inhibitor
cetaben	cholesterol inhibitor
cetilistat	triacylglycerol lipase inhibitor
cetirizine	histamine receptor antagonist
cetrorelix	gonadotropin releasing factor hormone receptor antagonist
cevimeline	acetylcholine receptor agonist
cevipabulin	microtubule stimulant
cevipabulin	tubulin polymerization inhibitor
cf102	adenosine receptor agonist
cfi-400945	serine/threonine kinase inhibitor
cfi-402257	dual specificity protein kinase inhibitor
cfm-1571	guanylate cyclase activator
cfm-2	glutamate receptor antagonist
cftrinh-172	chloride channel blocker
cg-400549	FABI inhibitor
cgh2466	adenosine receptor antagonist
cgk-733	ATM kinase inhibitor
cgk-733	ATR kinase inhibitor
cgm097	MDM inhibitor
cgp-12177	adrenergic receptor agonist
cgp-13501	GABA receptor modulator
cgp-20712a	adrenergic receptor antagonist
cgp-25454a	dopamine receptor antagonist
cgp-37157	mitochondrial Na+/Ca2+ exchanger antagonist
cgp-37157	sodium/calcium exchange inhibitor
cgp-37849	glutamate receptor antagonist
cgp-39551	NMDA receptor antagonist
cgp-52411	EGFR inhibitor
cgp-53353	EGFR inhibitor
cgp-53353	PKC inhibitor
cgp-54626	GABA receptor antagonist
cgp-55845	GABA receptor antagonist
cgp-57380	MAP kinase inhibitor
cgp-60474	CDK inhibitor
cgp-71683	neuropeptide receptor antagonist
cgp-74514	CDK inhibitor
cgp-78608	glutamate receptor antagonist
cgp-7930	GABA receptor modulator
cgs-15943	adenosine receptor antagonist
cgs-20625	benzodiazepine receptor agonist
cgs-20625	GABA benzodiazepine site receptor partial agonist
cgs-21680	adenosine receptor agonist
cgs-9896	GABA receptor antagonist
ch223191	aryl hydrocarbon receptor antagonist
ch5132799	PI3K inhibitor
ch-5183284	fibroblast growth factor inhibitor
ch55	retinoid receptor binder
chc	monocarboxylate transporter inhibitor
chenodeoxycholic-acid	11-beta hydroxysteroid dehydrogenase inhibitor
chenodeoxycholic-acid	FXR agonist
chf5074	gamma secretase modulator
chicago-sky-blue-6b	glutamate inhibitor
chicago-sky-blue-6b	macrophage migration inhibiting factor inhibitor
chidamide	HDAC inhibitor
chiniofon	antiprotozoal agent
chir-124	CHK inhibitor
chir-98014	glycogen synthase kinase inhibitor
chir-99021	glycogen synthase kinase inhibitor
chlorambucil	DNA inhibitor
chloramphenicol	bacterial 50S ribosomal subunit inhibitor
chloramphenicol-palmitate	protein synthesis inhibitor
chloramphenicol-sodium-succinate	protein synthesis inhibitor
chlorcyclizine	histamine receptor antagonist
chlorfenson	other antifungal
chlorhexidine	membrane integrity inhibitor
chlorisondamine-diiodide	acetylcholine receptor antagonist
chlormadinone-acetate	5 alpha reductase inhibitor
chlormezanone	GABA receptor modulator
chlormidazole	fungal lanosterol demethylase inhibitor
chlorocresol	ryanodine receptor activator
chlorogenic-acid	antioxidant
chlorophyllin-copper	cytochrome P450 inhibitor
chloroprocaine	sodium channel blocker
chloropyramine	histamine receptor antagonist
chloroquine	antimalarial agent
chlorothiazide	diuretic
chlorotrianisene	estrogenic hormone
chloroxine	opioid receptor antagonist
chloroxylenol	ATP synthase inhibitor
chlorphenamine	histamine receptor antagonist
chlorphenesin	muscle relaxant
chlorphenoxamine	histamine receptor antagonist
chlorphensin-carbamate	muscle relaxant
chlorproguanil	dihydrofolate reductase inhibitor
chlorpromazine	dopamine receptor antagonist
chlorpropamide	ATP channel blocker
chlorpropham	antiviral
chlorprothixene	dopamine receptor antagonist
chlorpyrifos	acetylcholinesterase inhibitor
chlorquinaldol	other antibiotic
chlortetracycline	protein synthesis inhibitor
chlorthalidone	carbonic anhydrase inhibitor
chlorzoxazone	bacterial 30S ribosomal subunit inhibitor
cholic-acid	bile acid
choline	acetylcholine precursor
choline-alfoscerate	acetylcholine precursor
chpg	glutamate receptor agonist
chr-6494	serine/threonine kinase inhibitor
chromanol-(+/-)	potassium channel blocker
"chromanol-293b-(-)-[3r,4s]"	potassium channel blocker
chromium-picolinate	insulin sensitizer
chromocarb	antispasmodic
chrysin	breast cancer resistance protein inhibitor
chrysophanic-acid	EGFR inhibitor
ci-923	acetylcholine receptor antagonist
ci-953	voltage-gated sodium channel blocker
ci-966	GAT inhibitor
ci-976	ACAT inhibitor
ciaftalan-zinc	reactive oxygen species stimulant
cianidanol	fatty acid synthase inhibitor
cibenzoline	sodium channel blocker
ciclesonide	glucocorticoid receptor agonist
ciclopirox	membrane integrity inhibitor
cicloprofen	cyclooxygenase inhibitor
cid-16020046	G protein-coupled receptor antagonist
cid-2011756	protein kinase inhibitor
cid-2745687	G protein-coupled receptor antagonist
cid-5458317	MAP kinase phosphatase inhibitor
cidofovir	DNA polymerase inhibitor
ciglitazone	PPAR receptor agonist
cilastatin	dehydropeptidase inhibitor
cilazapril	angiotensin converting enzyme inhibitor
cilengitide	integrin antagonist
cilnidipine	calcium channel blocker
cilofexor	FXR agonist
cilomilast	phosphodiesterase inhibitor
cilostamide	phosphodiesterase inhibitor
cilostazol	phosphodiesterase inhibitor
ciluprevir	serine protease inhibitor
cim-0216	transient receptor potential channel agonist
cimaterol	adrenergic receptor agonist
cimetidine	histamine receptor antagonist
cimetropium	acetylcholine receptor antagonist
cinacalcet	calcium channel activator
cinaciguat	guanylate cyclase activator
cinalukast	leukotriene receptor antagonist
cinanserin	serotonin receptor antagonist
cinchocaine	sodium channel blocker
cinchonidine	P glycoprotein inhibitor
cinchonine	P glycoprotein inhibitor
cinchophen	analgesic agent
cinepazet	vasodilator
cinepazide	calcium channel activator
cinflumide	muscle relaxant
cinnamaldehyde	aldose reductase inhibitor
cinnamaldehyde	TRPV agonist
cinnarazine	calcium channel blocker
cinobufotalin	anticancer agent
cinoxacin	topoisomerase inhibitor
cinpa-1	CAR antagonist
cintirorgon	ROR agonist
cipamfylline	phosphodiesterase inhibitor
cipargamin	antimalarial agent
cipemastat	metalloproteinase inhibitor
ciprofibrate	PPAR receptor agonist
ciprofloxacin	bacterial DNA gyrase inhibitor
ciproxifan	histamine receptor antagonist
ciq	glutamate receptor potentiator
cirazoline	adrenergic receptor agonist
cis-acpd	glutamate receptor agonist
cisapride	serotonin receptor agonist
cisatracurium	acetylcholine receptor antagonist
"cis-exo-camphanediol-2,3"	nitric oxide stimulant
cisplatin	DNA alkylating agent
cisplatin	DNA synthesis inhibitor
cis-urocanic-acid	serotonin receptor agonist
citalopram	selective serotonin reuptake inhibitor (SSRI)
citarinostat	HDAC inhibitor
citco	constitutive androstane receptor (CAR) agonist
citicoline	glutathione transferase stimulant
citicoline	membrane permeability enhancer
citiolone	lipotropic
citiolone	mucolytic agent
citric-acid	coagulation factor inhibitor
cj-033466	serotonin receptor agonist
cj-13610	lipoxygenase inhibitor
ck-101	EGFR inhibitor
ck-636	actin related protein inhibitor
ckd-712	NFkB pathway inhibitor
cki-7	casein kinase inhibitor
cl-218872	benzodiazepine receptor agonist
cl316243	adrenergic receptor agonist
cladribine	adenosine deaminase inhibitor
cladribine	ribonucleotide reductase inhibitor
clamikalant	ATP-sensitive potassium channel antagonist
clanfenur	anticancer agent
clarithromycin	bacterial 50S ribosomal subunit inhibitor
clavulanate	beta lactamase inhibitor
clebopride	dopamine receptor antagonist
clemastine	histamine receptor antagonist
clemizole	HCV inhibitor
clenbuterol	adrenergic receptor agonist
cleviprex	calcium channel blocker
clevudine	DNA polymerase inhibitor
clidinium	acetylcholine receptor antagonist
climbazole	enzyme inducer
clinafloxacin	bacterial DNA gyrase inhibitor
clindamycin	protein synthesis inhibitor
clindamycin-palmitate	bacterial 50S ribosomal subunit inhibitor
clindamycin-phosphate	protein synthesis inhibitor
clinofibrate	lipase clearing factor inhibitor
clioquinol	chelating agent
clobenpropit	histamine receptor antagonist
clobetasol-propionate	glucocorticoid receptor agonist
clobetasone-butyrate	corticosteroid agonist
clobutinol	antitussive
clocortolone-pivalate	steroid
clodronic-acid	bone resorption inhibitor
clofarabine	ribonucleotide reductase inhibitor
clofazimine	GK0582 inhibitor
clofedanol	histamine receptor antagonist
clofibrate	PPAR receptor agonist
clofibric-acid	PPAR receptor agonist
clofilium	potassium channel blocker
clofoctol	protein synthesis inhibitor
clomesone	DNA inhibitor
clomethiazole	GABA receptor antagonist
clomethiazole	GABA receptor modulator
clomifene	estrogen receptor antagonist
clomipramine	serotonin transporter (SERT) inhibitor
clonidine	adrenergic receptor agonist
clonixin	cyclooxygenase inhibitor
clonixin-lysinate	cyclooxygenase inhibitor
clopamide	sodium/chloride cotransporter inhibitor
cloperastine	antitussive
cloperastine-fendizoate	potassium channel antagonist
clopidogrel	purinergic receptor antagonist
cloprostenol-(+/-)	prostaglandin receptor agonist
cloranolol	adrenergic receptor antagonist
clorgiline	monoamine oxidase inhibitor
clorotepine	adrenergic receptor antagonist
clorotepine	dopamine receptor antagonist
clorprenaline	adrenergic receptor agonist
clorsulon	glycolysis inhibitor
closantel	chitinase inhibitor
closantel	NFkB pathway inhibitor
clotrimazole	cytochrome P450 inhibitor
clotrimazole	imidazoline receptor ligand
cloxacillin	bacterial cell wall synthesis inhibitor
cloxyquin	potassium channel activator
clozapine	dopamine receptor antagonist
clozapine	serotonin receptor antagonist
cm-4620	calcium release activated channel modulator
cmpd-1	p38 MAPK inhibitor
cnqx	glutamate receptor antagonist
cnx-2006	EGFR inhibitor
cnx-774	Bruton's tyrosine kinase (BTK) inhibitor
co-101244	glutamate receptor antagonist
co-102862	sodium channel blocker
cobicistat	cytochrome P450 inhibitor
cobimetinib	MEK inhibitor
coh29	ribonucleotide reductase inhibitor
colchicine	microtubule inhibitor
colforsin	adenylyl cyclase activator
colforsin-daproate	adenylyl cyclase activator
colfosceril-palmitate	pulmonary surfactant
colistimethate	bacterial permeability inducer
colistin	bacterial permeability inducer
combretastatin-a-4	tubulin polymerization inhibitor
compound-401	DNA dependent protein kinase inhibitor
compound-w	beta-secretase inhibitor
conivaptan	vasopressin receptor antagonist
convallatoxin	cardiac glycoside
copanlisib	PI3K inhibitor
cor-170	cannabinoid receptor inverse agonist
cordycepin	DNA inhibitor
corosolic-acid	PKC inhibitor
corosolic-acid	protein tyrosine kinase inhibitor
cort-108297	glucocorticoid receptor antagonist
corticosterone	mineralocorticoid receptor agonist
cortisone	glucocorticoid receptor agonist
cortisone-acetate	glucocorticoid receptor agonist
cortodoxone	androgen receptor antagonist
costunolide	telomerase inhibitor
coti-2	anticancer agent
cot-inhibitor-1	MAPK-interacting kinase inhibitor
cot-inhibitor-2	MAPK-interacting kinase inhibitor
cotinine	nicotine metabolite
coumarin	vitamin K antagonist
coumophos	cholinesterase inhibitor
"cp-105,696"	leukotriene receptor antagonist
cp-316819	glycogen phosphorylase inhibitor
cp-339818	potassium channel blocker
cp-376395	corticotropin releasing factor receptor antagonist
cp-471474	matrix metalloprotease inhibitor
cp-532623	cholesteryl ester transfer protein inhibitor
cp-547632	kinase inhibitor
cp-640186	acetyl-CoA carboxylase inhibitor
cp-673451	PDGFR tyrosine kinase receptor inhibitor
cp-724714	EGFR inhibitor
cp-724714	protein tyrosine kinase inhibitor
cp-775146	PPAR receptor agonist
cp-91149	glycogen phosphorylase inhibitor
cp-93129	serotonin receptor agonist
cp-94253	serotonin receptor agonist
"cp-945,598"	cannabinoid receptor antagonist
cp-99994	tachykinin antagonist
cpa-inhibitor	carboxypeptidase inhibitor
cpccoet	glutamate receptor antagonist
cpi-0610	bromodomain inhibitor
cpi-1189	tumor necrosis factor release inhibitor
cpi-1205	EZH2 inhibitor
cpi-169	histone lysine methyltransferase inhibitor
cpi-203	bromodomain inhibitor
cpi-360	histone lysine methyltransferase inhibitor
cpi-444	adenosine receptor antagonist
cpi-613	pyruvate dehydrogenase inhibitor
cpp	glutamate receptor antagonist
cpsi-1306-(+/-)	macrophage migration inhibiting factor inhibitor
cr8-(r)	CDK inhibitor
crenigacestat	notch signaling inhibitor
crenolanib	PDGFR tyrosine kinase receptor inhibitor
cridanimod	progesterone receptor agonist
crisaborole	phosphodiesterase inhibitor
crisdesalazine	free radical scavenger
crizotinib	ALK tyrosine kinase receptor inhibitor
crizotinib-(s)	MTH1 inhibitor
croconazole	bacterial cell wall synthesis inhibitor
crolibulin	tubulin polymerization inhibitor
cromoglicic-acid	immunosuppressant
crotamiton	antipruritic
cryptotanshinone	acetylcholinesterase inhibitor
cryptotanshinone	STAT inhibitor
crystal-violet	other antibiotic
cs-110266	dopamine receptor agonist
cs-917	fructose biphosphate inhibitor
ct7001	CDK inhibitor
ct-7758	integrin antagonist
ctep	glutamate receptor antagonist
cts-1027	metalloproteinase inhibitor
cts21166	beta-secretase inhibitor
cu-cpt-4a	toll-like receptor inhibitor
cudc-101	EGFR inhibitor
cudc-427	apoptosis inhibitor
cudc-907	PI3K inhibitor
cur-61414	smoothened receptor antagonist
curcumin	cyclooxygenase inhibitor
curcumin	histone acetyltransferase inhibitor
curcumin	lipoxygenase inhibitor
curcumin	NFkB pathway inhibitor
curcumol	JAK inhibitor
cu-t12-9	toll-like receptor agonist
cutamesine	sigma receptor agonist
cv-1808	adenosine receptor agonist
cvt-10216	aldehyde dehydrogenase inhibitor
cw-008	PKA activator
cx-4945	casein kinase inhibitor
cx-516	glutamate receptor modulator
cx-5461	RNA polymerase inhibitor
cxd101	HDAC inhibitor
cy208-243	dopamine receptor agonist
cyamemazine	serotonin receptor antagonist
cyanocobalamin	methylmalonyl CoA mutase stimulant
cyanocobalamin	vitamin B
cyanopindolol	adrenergic receptor antagonist
cyc065	CDK inhibitor
cyc116	Aurora kinase inhibitor
cyclandelate	calcium channel blocker
cyclizine	histamine receptor modulator
cyclobenzaprine	adrenergic receptor agonist
cyclobenzaprine	serotonin receptor agonist
cyclocreatine	creatine kinase substrate
cyclocytidine	DNA synthesis inhibitor
cyclocytidine	RNA synthesis inhibitor
cycloheximide	protein synthesis inhibitor
cyclopamine	hedgehog pathway inhibitor
cyclopenthiazide	thiazide diuretic
cyclopentolate	acetylcholine receptor antagonist
cyclophosphamide	DNA alkylating agent
cyclopiazonic-acid	ATPase inhibitor
cycloserine-(d)	bacterial cell wall synthesis inhibitor
cyclosporin-a	calcineurin inhibitor
cyclothiazide	glutamate receptor modulator
cyclovalone	breast cancer resistance protein inhibitor
cyclovirobuxin-d	calcium channel modulator
cym-50260	sphingosine 1-phosphate receptor agonist
cym-50358	sphingosine 1-phosphate receptor antagonist
cym-50769	neuropeptide receptor antagonist
cym-5442	sphingosine 1-phosphate receptor agonist
cym-5520	sphingosine 1-phosphate receptor agonist
cym-5541	sphingosine 1-phosphate receptor agonist
cyproheptadine	histamine receptor antagonist
cyproterone-acetate	androgen receptor antagonist
cysteamine	tissue transglutaminase inhibitor
cyt387	JAK inhibitor
cyt-997	tubulin polymerization inhibitor
cytarabine	ribonucleotide reductase inhibitor
cytisine	acetylcholine receptor agonist
cytochalasin-b	microtubule inhibitor
czc24832	PI3K inhibitor
czc-54252	leucine rich repeat kinase inhibitor
d-157495	decapping scavenger enzyme inhibitor
d-3263	transient receptor potential channel agonist
d-4476	TGF beta receptor inhibitor
d609	phospholipase inhibitor
d-64131	microtubule inhibitor
daa-1106	benzodiazepine receptor agonist
dabigatran	thrombin inhibitor
dabigatran-etexilate	thrombin inhibitor
dabrafenib	RAF inhibitor
dacarbazine	DNA alkylating agent
dacinostat	HDAC inhibitor
daclatasvir	HCV inhibitor
dacomitinib	EGFR inhibitor
dactinomycin	RNA polymerase inhibitor
daidzein	estrogen receptor agonist
daidzin	antioxidant
dalargin	opioid receptor agonist
dalbavancin	bacterial cell wall synthesis inhibitor
dalcetrapib	cholesteryl ester transfer protein inhibitor
dalfampridine	potassium channel blocker
dalfopristin	antibacterial 
daltroban	thromboxane receptor antagonist
daminozide	KDM2A inhibitor
danazol	estrogen receptor antagonist
danazol	progesterone receptor agonist
danegaptide	gap junction modulator
danirixin	CC chemokine receptor antagonist
danofloxacin	bacterial DNA gyrase inhibitor
danoprevir	HCV inhibitor
dantrolene	calcium channel blocker
dantron	laxative
danusertib	Aurora kinase inhibitor
danusertib	growth factor receptor inhibitor
dapagliflozin	sodium/glucose cotransporter inhibitor
dapansutrile	anti-inflammatory agent
daphnetin	protein kinase inhibitor
dapiprazole	adrenergic receptor antagonist
dapivirine	non-nucleoside reverse transcriptase inhibitor
dapoxetine	selective serotonin reuptake inhibitor (SSRI)
daprodustat	hypoxia inducible factor inhibitor
dapsone	bacterial antifolate
dapt	gamma secretase inhibitor
daptomycin	bacterial cell wall synthesis inhibitor
darapladib	phospholipase inhibitor
darglitazone	PPAR receptor antagonist
darifenacin	acetylcholine receptor antagonist
darolutamide	androgen receptor antagonist
darunavir	HIV protease inhibitor
darusentan	endothelin receptor antagonist
dasabuvir	HCV inhibitor
dasatinib	Bcr-Abl kinase inhibitor
dasatinib	ephrin inhibitor
dasatinib	KIT inhibitor
dasatinib	PDGFR tyrosine kinase receptor inhibitor
dasatinib	SRC inhibitor
dasatinib	tyrosine kinase inhibitor
dasotraline	dopamine-norepinephrine-serotonin reuptake inhibitor
dau-5884	acetylcholine receptor antagonist
daucosterol	apoptosis stimulant
daunorubicin	RNA synthesis inhibitor
daunorubicin	topoisomerase inhibitor
dazmegrel	thromboxane synthase inhibitor
dazoxiben	thromboxane synthase inhibitor
dbeq	ATPase inhibitor
dbpr108	dipeptidyl peptidase inhibitor
dbpr-211	cannabinoid receptor antagonist
dc-260126	free fatty acid receptor antagonist
dcc-2618	KIT inhibitor
dcc-2618	PDGFR tyrosine kinase receptor inhibitor
dcebio	potassium channel activator
dcpib	chloride channel blocker
dcpib	gap junction modulator
dcpib	glutamate inhibitor
dcp-la	protein kinase activator
ddr1-in-1	discoidin domain receptor inhibitor
deazaguanine	DNA synthesis inhibitor
debio-0932	HSP inhibitor
debrisoquin	adrenergic neuron blocker
decamethonium	acetylcholine receptor agonist
decamethoxine	antiseptic
decernotinib	JAK inhibitor
decitabine	DNA methyltransferase inhibitor
declopramide	cell cycle inhibitor
decloxizine	histamine receptor antagonist
decoquinate	antiprotozoal agent
defactinib	focal adhesion kinase inhibitor
deferasirox	chelating agent
deferiprone	chelating agent
deferoxamine-mesylate	chelating agent
deflazacort	glucocorticoid receptor agonist
deforolimus	mTOR inhibitor
degarelix	gonadotropin releasing factor hormone receptor antagonist
dehydrocorydaline	acetylcholinesterase inhibitor
dehydroepiandrosterone	protein synthesis stimulant
dehydroepiandrosterone-sulfate	androgen receptor agonist
dehydroepiandrosterone-sulfate	estrogen receptor agonist
delafloxacin	antiinfective drug
delamanid	bacterial cell wall synthesis inhibitor
delanzomib	proteasome inhibitor
delapril	angiotensin converting enzyme inhibitor
delavirdine	non-nucleoside reverse transcriptase inhibitor
delcasertib	PKC inhibitor
delgocitinib	JAK inhibitor
delivert	angiotensin receptor agonist
delpazolid	antibacterial
delphinidin	membrane permeability inhibitor
deltarasin	phosphodiesterase inhibitor
delta-tocotrienol	HMGCR inhibitor
demecarium	acetylcholinesterase inhibitor
demeclocycline	bacterial 30S ribosomal subunit inhibitor
denopamine	adrenergic receptor agonist
denotivir	antiviral
deoxyarbutin	tyrosinase inhibitor
deoxycholic-acid	biliverdin reductase A activator
deoxycholic-acid	G protein-coupled receptor agonist
deoxycorticosterone-acetate	progestogen hormone
deoxyepinephrine	adrenergic receptor agonist
deoxyepinephrine	dopamine receptor agonist
deptropine	histamine receptor antagonist
dequalinium	PKC inhibitor
deracoxib	cyclooxygenase inhibitor
derazantinib	tyrosine kinase inhibitor
deserpidine	angiotensin converting enzyme inhibitor
desidustat	hypoxia inducible factor prolyl hydroxylase inhibitor
desipramine	tricyclic antidepressant
desisobutyryl-ciclesonide	cytochrome P450 inhibitor
deslanoside	Na/K-ATPase inhibitor
desloratadine	histamine receptor antagonist
deslorelin	gonadotropin releasing factor hormone receptor agonist
desmethylclozapine	acetylcholine receptor agonist
desmopressin-acetate	vasopressin receptor agonist
desogestrel	progesterone receptor agonist
desonide	glucocorticoid receptor agonist
desoximetasone	glucocorticoid receptor agonist
desoxycorticosterone-pivalate	corticosteroid agonist
desoxycortone	mineralocorticoid receptor agonist
desoxypeganine	acetylcholinesterase inhibitor
desoxypeganine	monoamine oxidase inhibitor
desvenlafaxine	serotonin???norepinephrine reuptake inhibitor (SNRI)
detomidine	adrenergic receptor agonist
devazepide	CCK receptor antagonist
dexamethasone	glucocorticoid receptor agonist
dexamethasone-acetate	glucocorticoid receptor agonist
dexchlorpheniramine	histamine receptor antagonist
dexfosfoserine	membrane integrity inhibitor
dexlansoprazole	ATPase inhibitor
dexloxiglumide	CCK receptor antagonist
dexmedetomidine	adrenergic receptor agonist
dexniguldipine	calmodulin antagonist
dexrazoxane	chelating agent
dexrazoxane	topoisomerase inhibitor
dextromethorphan	glutamate receptor antagonist
dextromethorphan	sigma receptor agonist
dextrorotation-nimorazole-phosphate-ester	antiinfective drug
dfb	glutamate receptor agonist
dg051	leukotriene synthesis inhibitor
dg-172	PPAR receptor inverse agonist
dh-97	melatonin receptor antagonist
dhbp	ryanodine receptor blocker
diacerein	interleukin inhibitor
diadenosine-tetraphosphate	adenosine kinase inhibitor
dianhydrogalactitol	DNA alkylating agent
diarylpropionitrile	estrogen receptor agonist
diaveridine	dihydrofolate reductase inhibitor
diazoxide	potassium channel activator
dibekacin	bacterial 30S ribosomal subunit inhibitor
dibenzepine	norepinephrine reputake inhibitor
dichloroacetate	pyruvate dehydrogenase kinase inhibitor
dichlorophen	anticestodal agent
dichlorvos	acetylcholinesterase inhibitor
diclazuril	antiprotozoal agent
diclofenac	cyclooxygenase inhibitor
diclofenamide	carbonic anhydrase inhibitor
diclofensine	dopamine reuptake inhibitor
dicloxacillin	bacterial cell wall synthesis inhibitor
dicoumarol	NADPH inhibitor
dicycloverine	acetylcholine receptor antagonist
didanosine	nucleoside reverse transcriptase inhibitor
dideoxyadenosine	nucleoside reverse transcriptase inhibitor
didox	ribonucleotide reductase inhibitor
dienestrol	estrogen receptor agonist
dienogest	progesterone receptor agonist
diethylcarbamazine	lipoxygenase inhibitor
diethylstilbestrol	estrogen receptor agonist
diethyltoluamide	ionotropic receptor IR40a activator
difenpiramide	cyclooxygenase inhibitor
difenpiramide	prostaglandin inhibitor
diflorasone-diacetate	glucocorticoid receptor agonist
difloxacin	bacterial DNA gyrase inhibitor
diflunisal	prostanoid receptor antagonist
difluprednate	glucocorticoid receptor agonist
diftalone	cyclooxygenase inhibitor
digitoxigenin	ATPase inhibitor
digitoxin	ATPase inhibitor
digoxigenin	steroid
digoxin	ATPase inhibitor
dihomo-gamma-linolenic-acid	prostanoid receptor agonist
dihydrexidine	dopamine receptor agonist
dihydroartemisinin	antimalarial agent
dihydroergocristine	adrenergic receptor antagonist
dihydroergocristine	prolactin inhibitor
dihydroergotamine	serotonin receptor agonist
dihydrostreptomycin	bacterial 30S ribosomal subunit inhibitor
dihydrotachysterol	vitamin analog
dihydroxyphenylglycine	glutamate receptor agonist
diiodothyropropionic-acid	thyroid hormone stimulant
dilazep	adenosine reuptake inhibitor
dilmapimod	p38 MAPK inhibitor
diloxanide	protein synthesis inhibitor
diltiazem	calcium channel blocker
dimaprit	histamine receptor agonist
dim-c-pphco2me	nuclear receptor antagonist
dimemorfan	sigma receptor agonist
dimenhydrinate	histamine receptor antagonist
dimercaprol	chelating agent
dimercaptosuccinic-acid	chelating agent
dimesna	tubulin polymerization inhibitor
dimethadione	oxazolidine antiepileptic
dimethindene-(s)-(+)	acetylcholine receptor antagonist
dimethisoquin	local anesthetic
dimethyl-fumarate	nuclear factor erythroid derived
dimethyl-fumarate	like (NRF2) activator
dimethyl-isosorbide	cosmetic moisturizer
dimetindene	cholinergic receptor antagonist
dimetindene	histamine receptor antagonist
dimetridazole	bacterial DNA inhibitor
diminazene-aceturate	angiotensin converting enzyme activator
dimpylate	acetylcholinesterase inhibitor
dinaciclib	CDK inhibitor
dinoprost	prostacyclin analog
dinoprostone	prostanoid receptor agonist
dioscin	apoptosis stimulant
diosgenin	steroid
diosmetin	aryl hydrocarbon receptor agonist
diosmin	aryl hydrocarbon receptor agonist
diosmin	capillary stabilizing agent
dioxybenzone	topical sunscreen agent
diperodon	local anesthetic
diphemanil	acetylcholine receptor antagonist
diphencyprone	immunostimulant
diphenhydramine	histamine receptor antagonist
diphenidol	acetylcholine receptor agonist
diphenyleneiodonium	nitric oxide synthase inhibitor
diphenylpyraline	dopamine reuptake inhibitor
dipivefrine	adrenergic receptor agonist
dipraglurant	glutamate receptor negative allosteric modulator
dipt	dopamine reuptake inhibitor
dipt	serotonin reuptake inhibitor
dipyridamole	phosphodiesterase inhibitor
dipyrocetyl	chelating agent
diquafosol	purinergic receptor activator
dirithromycin	bacterial 50S ribosomal subunit inhibitor
