indication	p_value	Freq	count_lists_with_drugs	normalised_freq.freq.max.	normalised_count_lists_with_drugs	sum_of_norm_freq_norm_count_lists	product_of_norm_freq_norm_count_lists	score
lumbar epidural block	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
lungworms	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
lymphangioleiomyomatosis	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
macular degeneration	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
malignant hyperthermia (MH)	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
mastocytoma	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
megaloblastic anemia	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
melanoma	0.96482547	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
mesothelioma	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
motion sickness	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
myelofibrosis	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
myeloma	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
navicular syndrome	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
non-Hodgkin lymphoma (NHL)	0.925930173	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
organ rejection	0.844097661	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
organophosphate poisoning	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
Paget's disease	0.892533729	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
parenchymal neurocysticercosis	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
periarthritis	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
peripheral nerve block	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
peripheral neuropathy	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
peripheral T-cell lymphoma (PTCL)	0.844097661	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
plague	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
poison antidote	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
polycystic ovary syndrom (PCOS)	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
postpartum hemorrhage (PPH)	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
premenstrual syndrome	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
primary biliary cholangitis	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
prostatitis	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
psittacosis	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
pulmonary embolism (PE)	0.948954196	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
pyelonephritis	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
rosacea	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
schistosomiasis	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
seasonal affective disorder	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
shingles	0.948954196	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
skin depigmentation	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
skin protectant	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
skin ulcer	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
small cell lung cancer	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
spasms	0.99941945	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
statis dermatitis	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
sunscreen lotion	0.996243561	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
syphilis	0.844097661	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
thalassemia	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
thyroiditis	0.844097661	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
trachoma	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
transfusional hemosiderosis	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
tularemia	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
ulcerative esophagitis (UE)	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
urethritis	0.844097661	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
urinary frequency	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
vaginal atrophy	0.892533729	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
vascular spasm	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
vasomotor rhinitis	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
virus herpes simplex (HSV)	0.97576483	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
vitiligo	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
Wilm's tumor	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
Wolff-Parkinson-White Syndrome (WPW)	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
Zollinger-Ellison syndrome	0.844097661	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
