drug.me	AD.composite.score.repurposed	AD.ranking.repurposed	AD.composite.score.trials	AD.ranking.trials	AD.weighted_sum	AD.rank_of_weighted_sum	PD.composite.score.repurposed	PD.ranking.repurposed	PD.composite.score.trials	PD.ranking.trials	PD.weighted.sum	PD.ranking.of.weighted.sum	HD.composite.score.repurposed	HD.ranking.repurposed	HD.composite.score.trials	HD.ranking.trials	HD_weighted_sum	HD_rank_of_weighted_sum	MS.composite.score.repurposed	MS.ranking.repurposed	MS.composite.score.trials	MS.ranking.trials	MS.weighted.sum	MS.ranking.weighted.sum
digoxin	0.351336713	701	0	2919	0.175668357	1953	0.363076722	1177	0.4	439	0.381538361	530	0	2024	0.4	394	0.2	829	0	2370	0.24	606	0.12	1526
etacrynic-acid	0.351336713	702	0	3074	0.175668357	1954	0.384824802	1049	0.4	458	0.392412401	493	0	2226	0.4	422	0.2	850	0	2532	0.24	622	0.12	1537
hydroflumethiazide	0.351336713	703	0	3318	0.175668357	1955	0.356967783	1232	0.4	510	0.378483892	573	0	2556	0.4	489	0.2	896	0	2827	0.24	643	0.12	1554
amantadine	0.351274051	704	0.2	1133	0.275637026	906	0.381873583	1050	0.833333333	11	0.607603458	103	0	1265	0.733333333	44	0.366666667	192	0.283428571	779	0.213333333	808	0.248380952	453
nisoxetine	0.350795777	705	0.3	642	0.325397889	440	0.368247104	1105	0.333333333	1165	0.350790219	732	0	3203	0.333333333	1185	0.166666667	1372	0.289142857	731	0.346666667	218	0.317904762	178
pivagabine	0.35066716	706	0.171428571	1352	0.261047866	1081	0.523548387	435	0	3671	0.261774194	1533	0	3498	0	3296	0	3824	0	3706	0	3636	0	3969
felbamate	0.350346308	707	0.2	1182	0.275173154	913	0.278486486	2443	0.666666667	125	0.472576577	361	0.086666667	1011	0.766666667	23	0.426666667	89	0.283428571	874	0.213333333	820	0.248380952	463
budipine	0.350298441	708	0.26	778	0.305149221	633	0.417765475	576	0.866666667	9	0.642216071	58	0	1614	0.766666667	16	0.383333334	161	0.283428571	812	0	1888	0.141714286	1171
nefazodone	0.350122703	709	0.65	89	0.500061352	114	0.417534106	577	0.633333333	162	0.52543372	228	0	3172	0.333333333	1183	0.166666667	1370	0.289142857	729	0.293333333	372	0.291238095	326
tamibarotene	0.348979846	710	0	4404	0.174489923	1959	0	4725	0	4076	0	4756	0	4006	0	3655	0	4168	0	4161	0	4141	0	4326
vorapaxar	0.347906268	711	0.085714286	2003	0.216810277	1535	0.4	1013	0.4	804	0.4	484	0	4300	0.4	829	0.2	1144	0	4444	0	4430	0	4554
spironolactone	0.347434274	712	0.228571429	1066	0.288002852	812	0.364320837	1174	0.4	742	0.382160419	527	0.166153846	926	0.4	760	0.283076923	528	0.550095238	21	0.293333333	396	0.421714286	11
methsuximide	0.346796075	713	0	3646	0.173398038	1961	0.17400959	3180	0	3242	0.087004795	3259	0	2994	0	2943	0	3475	0	3217	0.114285714	1041	0.057142857	1936
2-[1-(4-piperonyl)piperazinyl]benzothiazole	0.346666667	714	0.3	550	0.323333334	452	0.379459459	1060	0.6	176	0.48972973	278	0	1041	0.4	192	0.2	679	0.4	35	0	1353	0.2	547
beta-amyloid-synthesis-inhibitor	0.346666667	715	0.36	367	0.353333334	373	0.33945946	1363	0	1996	0.16972973	2248	0	1499	0	1922	0	2442	0.4	83	0	1778	0.2	591
bimu-8	0.346666667	716	0.3	569	0.323333334	453	0.379459459	1064	0.6	183	0.48972973	279	0	1536	0.4	299	0.2	756	0.4	87	0	1812	0.2	595
cinchonine	0.346666667	717	0.3	578	0.323333334	454	0.33945946	1369	0	2274	0.16972973	2253	0	1788	0	2131	0	2638	0.4	111	0	2058	0.2	614
cj-033466	0.346666667	718	0.3	582	0.323333334	455	0.379459459	1065	0.6	189	0.48972973	280	0	1806	0.4	361	0.2	803	0.4	116	0	2074	0.2	619
emd-386088	0.346666667	719	0.3	598	0.323333334	456	0.379459459	1068	0.6	195	0.48972973	281	0	2152	0.4	414	0.2	844	0.4	149	0	2381	0.2	647
euk-134	0.346666667	720	0.33	513	0.338333334	407	0.33945946	1373	0	2649	0.16972973	2255	0	2258	0	2448	0	2967	0.341714286	491	0	2476	0.170857143	1014
mosapride	0.346666667	721	0.3	636	0.323333334	457	0.379459459	1074	0.6	208	0.48972973	282	0	3099	0.4	593	0.2	976	0.4	269	0	3253	0.2	753
mrk-560	0.346666667	722	0.61	116	0.478333334	124	0.33945946	1379	0	3336	0.16972973	2260	0	3113	0	3013	0	3559	0.4	270	0	3265	0.2	754
prucalopride	0.346666667	723	0.3	661	0.323333334	458	0.379459459	1080	0.6	214	0.48972973	283	0	3593	0.4	689	0.2	1049	0.4	324	0	3715	0.2	800
ro-90-7501	0.346666667	724	0.36	461	0.353333334	374	0.33945946	1385	0	3844	0.16972973	2264	0	3717	0	3444	0	3979	0.4	348	0	3847	0.2	820
rs-67333	0.346666667	725	0.3	670	0.323333334	459	0.379459459	1083	0.4	705	0.38972973	512	0	3745	0.4	711	0.2	1067	0.4	358	0	3869	0.2	830
rs-67506	0.346666667	726	0.3	671	0.323333334	460	0.379459459	1084	0.4	706	0.38972973	513	0	3746	0.4	712	0.2	1068	0.4	359	0	3870	0.2	831
salidroside	0.346666667	727	0.36	464	0.353333334	375	0.33945946	1386	0	3891	0.16972973	2265	0	3783	0	3487	0	4021	0.4	366	0	3901	0.2	837
sen-1269	0.346666667	728	0.36	469	0.353333334	376	0.33945946	1387	0	3949	0.16972973	2266	0	3857	0	3552	0	4072	0.4	389	0	3987	0.2	859
tc-e-5006	0.346666667	729	0.46	160	0.403333334	228	0.33945946	1388	0	4094	0.16972973	2267	0	4027	0	3669	0	4184	0.4	406	0	4165	0.2	873
tramiprosate	0.346666667	730	0.36	484	0.353333334	377	0.33945946	1392	0	4227	0.16972973	2271	0	4160	0	3781	0	4284	0.4	420	0	4301	0.2	885
arotinolol	0.34633189	731	0	2376	0.173165945	1962	0.897945946	5	0	1859	0.448972973	392	0	1358	0	1806	0	2331	0	1724	0	1644	0	2426
docetaxel	0.345560221	732	0.26	789	0.302780111	652	0.302054054	2114	0.333333333	1077	0.317693694	1186	0.432820513	122	0.333333333	1096	0.383076923	185	0.283428571	860	0.213333333	817	0.248380952	461
etilefrine	0.345523379	733	0.16	1551	0.25276169	1143	0.676200772	163	0.4	461	0.538100386	208	0	2241	0.4	424	0.2	852	0	2542	0.24	623	0.12	1538
cromoglicic-acid	0.345175257	734	0	2809	0.172587629	1964	0.26227027	2698	0	2350	0.131135135	2941	0	1881	0.133333333	1491	0.066666667	2017	0	2245	0.266666667	429	0.133333334	1312
enoximone	0.345157851	735	0.25	905	0.297578926	723	0.386211857	1045	0.4	452	0.393105929	489	0	2166	0.666666667	59	0.333333334	238	0	2481	0	2400	0	3020
levosimendan	0.345157851	736	0	3507	0.172578926	1965	0.368049695	1106	0.4	559	0.384024848	523	0	2823	0.4	541	0.2	938	0	3056	0.24	666	0.12	1572
olprinone	0.345157851	737	0.25	960	0.297578926	724	0.386211857	1046	0.4	619	0.393105929	490	0	3285	0.666666667	68	0.333333334	242	0	3498	0	3426	0	3806
pimobendan	0.345157851	738	0.25	974	0.297578926	725	0.386211857	1047	0.4	668	0.393105929	491	0	3472	0.666666667	73	0.333333334	247	0	3694	0	3617	0	3959
vesrinone	0.345157851	739	0.25	1025	0.297578926	726	0.386211857	1048	0.4	799	0.393105929	492	0	4284	0.666666667	82	0.333333334	254	0	4432	0	4413	0	4545
diflunisal	0.344726181	740	0.17	1382	0.257363091	1104	0.332108108	1531	0	2469	0.166054054	2394	0	2020	0	2292	0	2801	0.4	135	0	2263	0.2	634
fenoprofen	0.344726181	741	0.205	1098	0.274863091	914	0.274594595	2512	0	2673	0.137297298	2870	0	2288	0	2466	0	2983	0.4	172	0	2506	0.2	667
sasapyrine	0.344726181	742	0.17	1482	0.257363091	1105	0.332108108	1715	0	3903	0.166054054	2571	0	3795	0	3501	0	4029	0.4	368	0	3917	0.2	839
gabapentin	0.344286968	743	0.2	1185	0.272143484	925	0.528377672	428	0.364102564	976	0.446240118	395	0.166153846	910	0.333333333	1119	0.24974359	561	0.283428571	877	0.354285714	74	0.318857143	162
levodopa	0.34411958	744	0.2	1205	0.27205979	926	0.471778345	518	0.616666667	175	0.544222506	201	0	2817	0.366666667	925	0.183333334	1223	0.289142857	721	0.346666667	184	0.317904762	175
rasagiline	0.34411958	745	0.25	989	0.29705979	734	0.372143854	1092	0.533333333	234	0.452738594	390	0.246153846	650	0.333333333	1231	0.28974359	472	0.283428571	995	0.24	734	0.261714286	429
safimide	0.34411958	746	0.25	998	0.29705979	735	0.361333043	1179	0.633333333	168	0.497333188	257	0	3778	0.466666666	180	0.233333333	589	0.283428571	1004	0.346666667	262	0.315047619	258
selegiline	0.34411958	747	0.25	1002	0.29705979	736	0.361333043	1180	0.533333333	235	0.447333188	394	0	3850	0.333333333	1239	0.166666667	1408	0.283428571	1018	0.346666667	268	0.315047619	260
diphenhydramine	0.342921753	748	0	2937	0.171460877	1966	0.4	737	0	2488	0.2	1798	0	2049	0	2311	0	2820	0	2390	0	2286	0	2951
trimethadione	0.342471751	749	0	4552	0.171235876	1967	0.17400959	3182	0	4249	0.087004795	3261	0	4186	0	3799	0	4303	0	4344	0.114285714	1045	0.057142857	1938
alectinib	0.342468905	750	0	2268	0.171234453	1968	0.4	622	0	1753	0.2	1690	0	1220	0	1709	0	2237	0	1594	0	1508	0	2325
crizotinib	0.342468905	751	0	2806	0.171234453	1969	0.4	712	0	2347	0.2	1774	0	1878	0	2189	0	2695	0	2242	0	2139	0	2835
balaglitazone	0.341369046	752	0.41	184	0.375684523	340	0.207567568	3031	0	1948	0.103783784	3132	0	1447	0.133333333	1483	0.066666667	2011	0.283428571	798	0.266666667	418	0.275047619	383
pioglitazone	0.341369046	753	0.502857143	135	0.422113095	197	0.207567568	3105	0	3662	0.103783784	3183	0	3478	0.133333333	1528	0.066666667	2031	0.563428571	16	0.266666667	485	0.415047619	12
tesaglitazar	0.341369046	754	0.36	478	0.350684523	383	0.332108108	1737	0.3	1370	0.316054054	1196	0	4084	0.433333333	188	0.216666667	626	0.563428571	20	0.266666667	502	0.415047619	14
troglitazone	0.341369046	755	0.36	487	0.350684523	384	0.332108108	1748	0	4255	0.166054054	2600	0	4196	0.133333333	1546	0.066666667	2040	0.621714286	4	0.266666667	504	0.444190477	10
nitecapone	0.34094901	756	0.2	1222	0.270474505	931	0.192216216	3160	0.4	612	0.296108108	1387	0	3204	0.4	610	0.2	989	0	3408	0.346666667	219	0.173333334	989
opicapone	0.34094901	757	0.2	1225	0.270474505	932	0.192216216	3161	0.4	623	0.296108108	1388	0	3301	0.4	621	0.2	996	0	3514	0.346666667	221	0.173333334	990
or-486	0.34094901	758	0.2	1226	0.270474505	933	0.192216216	3162	0.4	624	0.296108108	1389	0	3302	0.4	622	0.2	997	0	3515	0.346666667	222	0.173333334	991
tolcapone	0.34094901	759	0.2	1285	0.270474505	934	0.192216216	3163	0.4	781	0.296108108	1390	0	4140	0.4	801	0.2	1124	0	4303	0.346666667	290	0.173333334	1000
u-0521	0.34094901	760	0.2	1290	0.270474505	935	0.192216216	3164	0.4	789	0.296108108	1391	0	4221	0.4	814	0.2	1133	0	4375	0.346666667	296	0.173333334	1001
vincristine	0.340814459	761	0.36	493	0.35040723	385	0.279351351	2426	0.333333333	1238	0.306342342	1314	0.1	1005	0.333333333	1270	0.216666667	623	0.283428571	1067	0	4420	0.141714286	1266
vinorelbine	0.338566466	762	0.36	495	0.349283233	387	0.279351351	2428	0.333333333	1240	0.306342342	1316	0	4293	0.333333333	1272	0.166666667	1434	0.283428571	1068	0	4422	0.141714286	1267
benztropine-mesylate	0.335989498	763	0.36	365	0.347994749	390	0.629986839	212	0.533333333	229	0.581660086	118	0	1493	0.333333333	1045	0.166666667	1267	0.283428571	803	0.346666667	108	0.315047619	205
caramiphen	0.335989498	764	0.37	255	0.352994749	378	0.503387097	461	0.6	187	0.551693549	148	0	1658	0.4	329	0.2	778	0	2021	0	1925	0	2655
metixene	0.335989498	765	0.37	302	0.352994749	379	0.760149001	36	0.2	1443	0.480074501	303	0	3011	0	2950	0	3486	0	3231	0	3177	0	3593
profemine	0.335989498	766	0.37	317	0.352994749	380	0.503387097	462	0.6	213	0.551693549	149	0	3564	0.4	682	0.2	1043	0	3763	0	3692	0	4009
srt1720	0.33546589	767	0.16	1627	0.247732945	1173	0.237621622	2879	0.35	987	0.293810811	1420	0.166153846	928	0.3	1318	0.233076923	590	0.283428571	1034	0	4069	0.141714286	1252
srt2104	0.33546589	768	0.16	1628	0.247732945	1174	0.237621622	2880	0.35	988	0.293810811	1421	0.166153846	929	0.3	1319	0.233076923	591	0.283428571	1035	0	4070	0.141714286	1253
d-64131	0.335436746	769	0.36	388	0.347718373	391	0.279351351	2414	0.333333333	1064	0.306342342	1302	0	1920	0.333333333	1082	0.166666667	1296	0.289142857	697	0	2172	0.144571429	1133
simvastatin	0.335017205	770	0.271428572	727	0.303222889	649	0.207567568	3117	0	3970	0.103783784	3193	0	3881	0	3570	0	4088	0	4021	0.430476191	40	0.215238096	533
venlafaxine	0.334933264	771	0.471428571	154	0.403180918	231	0.40611226	583	0.2	1482	0.30305613	1347	0	4278	0.2	1465	0.1	1873	0.294857143	661	0	4408	0.147428572	1119
viloxazine	0.334633668	772	0.171428571	1355	0.25303112	1142	0.401849545	587	0.2	1485	0.300924773	1363			0.2	1468	0.1	1888	0.189714286	1297	0	4417	0.094857143	1749
coumarin	0.33444355	773	0	2791	0.167221775	1976	0.214486486	2984	0	2333	0.107243243	3095	0	1859	0	2176	0	2685	0	2222	0	2116	0	2818
miprine	0.333839873	774	0.3	634	0.316919937	514	0.402532819	585	0.333333333	1152	0.367933076	602	0	3037	0.333333333	1172	0.166666667	1360	0.236571429	1231	0.346666667	207	0.291619048	314
istradefylline	0.333713076	775	0	3401	0.166856538	1977	0.380143854	1059	0.883333333	5	0.631738594	83	0	2681	0.433333333	183	0.216666667	625	0.294857143	577	0	2884	0.147428572	1087
bexarotene	0.331669808	776	0.147142857	1694	0.239406333	1300	0.332108108	1472	0	2012	0.166054054	2339	0	1515	0	1933	0	2454	0.066666667	1429	0	1794	0.033333334	2101
butalbital	0.331214435	777	0.2	1149	0.265607218	1012	0.295351351	2140	0.4	378	0.347675676	788	0	1624	0.4	322	0.2	775	0.283428571	814	0.346666667	119	0.315047619	209
pitavastatin	0.330057348	778	0.26	820	0.295028674	752	0.207567568	3106	0	3669	0.103783784	3184	0	3496	0	3294	0	3822	0	3704	0.377142857	68	0.188571429	941
pravastatin	0.330057348	779	0.345714286	498	0.337885817	408	0.207567568	3110	0	3707	0.103783784	3188	0	3537	0	3321	0	3852	0	3740	0.377142857	69	0.188571429	942
metharbital	0.329858503	780	0.2	1213	0.264929252	1040	0.295351351	2157	0.4	578	0.347675676	796	0.086666667	1015	0.4	570	0.243333334	571	0.283428571	937	0.346666667	198	0.315047619	240
rosuvastatin	0.328701416	781	0.26	824	0.294350708	753	0.207567568	3114	0	3853	0.103783784	3190	0	3728	0.1	1559	0.05	2067	0	3900	0.377142857	70	0.188571429	943
metformin	0.328686119	782	0.432857143	166	0.380771631	326	0.207567568	3086	0.133333333	1495	0.170450451	2244	0	2982	0.266666667	1383	0.133333334	1543	0.260571429	1177	0.32	317	0.290285715	330
dilazep	0.328306753	783	0.057142857	2059	0.192724805	1773	0.269837838	2599	0.333333333	1074	0.301585586	1353	0	2031	0.333333333	1093	0.166666667	1304	0	2372	0	2270	0	2934
avafil	0.327759042	784	0.25	874	0.288879521	803	0.329945946	1791	0	1897	0.164972973	2634	0	1403	0.266666667	1325	0.133333334	1523	0	1767	0	1688	0	2457
mirodefil	0.327759042	785	0.25	943	0.288879521	804	0.329945946	1823	0	3274	0.164972973	2650	0	3041	0.266666667	1347	0.133333334	1544	0	3258	0	3199	0	3614
fluvastatin	0.327345483	786	0.26	796	0.293672742	754	0.207567568	3065	0	2725	0.103783784	3154	0	2345	0	2508	0	3028	0	2625	0.377142857	66	0.188571429	940
atorvastatin	0.326851151	787	0.288571429	707	0.30771129	617	0.269837838	2556	0	1888	0.134918919	2891	0	1391	0	1829	0	2355	0	1756	0.32	314	0.16	1041
aliskiren-hemifumarate	0.326829268	788	0	2275	0.163414634	1980	0.440864865	548	0	1757	0.220432433	1614	0	1227	0	1712	0	2242	0	1599	0	1511	0	2328
biperiden	0.326233401	789	0.37	252	0.348116701	389	0.669554407	166	0.6	184	0.634777204	81	0	1542	0.4	300	0.2	757	0	1910	0	1816	0	2570
debrisoquin	0.326178862	790	0	2862	0.163089431	1981	0.422682111	571	0.2	1413	0.311341056	1226	0	1954	0.2	1405	0.1	1823	0.189714286	1277	0	2204	0.094857143	1733
acetylcholine	0.326011183	791	0.667142857	82	0.49657702	116	0.295351351	2135	0.4	284	0.347675676	785	0	1162	0.4	221	0.2	701	0	1547	0	1456	0	2289
ac-55649	0.325964681	792	0	2209	0.162982341	1982	0	3392	0	1693	0	3485	0	1145	0	1657	0	2186	0	1532	0	1440	0	2277
agn-195183	0.325964681	793	0	2258	0.162982341	1983	0	3423	0	1740	0	3514	0	1204	0	1698	0	2227	0	1583	0	1494	0	2318
am-580	0.325964681	794	0	2298	0.162982341	1984	0	3444	0	1784	0	3535	0	1260	0	1736	0	2267	0	1625	0	1542	0	2347
ec-23	0.325964681	795	0	2985	0.162982341	1985	0	3865	0	2540	0	3936	0	2117	0	2354	0	2864	0	2441	0	2349	0	2986
fenretinide	0.325964681	796	0	3114	0.162982341	1986	0	3933	0	2676	0	4002	0	2291	0	2468	0	2985	0	2579	0	2509	0	3093
isotretinoin	0.325964681	797	0	3398	0.162982341	1987	0	4114	0	2984	0	4174	0	2677	0	2725	0	3259	0	2931	0	2880	0	3373
ttnpb	0.325964681	798	0	4563	0.162982341	1988	0	4832	0	4263	0	4857	0	4207	0	3809	0	4317	0	4361	0	4342	0	4488
topiramate	0.324655251	799	0.185	1333	0.254827626	1112	0.267675676	2684	0.7	90	0.483837838	285	0.086666667	1020	0.8	10	0.443333334	84	0.283428571	1054	0.293333333	401	0.288380952	354
fenigam	0.324076935	800	0.171428571	1347	0.247752753	1172	0.375996513	1091	0.4	469	0.387998257	520	0	2283	0.4	435	0.2	862	0	2575	0.266666667	442	0.133333334	1320
diclofemide	0.322704032	801	0	2905	0.161352016	1990	0.207567568	3053	0	2458	0.103783784	3146	0.086666667	1008	0	2283	0.043333334	2081	0	2353	0	2252	0	2919
milrinone	0.322393624	802	0.25	942	0.286196812	818	0.326103749	1877	0.3	1324	0.313051875	1221	0	3035	0.566666667	169	0.283333334	513	0	3251	0	3196	0	3610
bumetanide	0.32206842	803	0.16	1528	0.24103421	1259	0.301583261	2119	0.4	373	0.350791631	731	0.14	983	0.4	317	0.27	538	0.330285714	506	0	1890	0.165142857	1030
aceclofec	0.32147908	804	0.255714286	846	0.288596683	808	0.332108108	1425	0	1699	0.166054054	2295	0	1154	0	1663	0	2191	0.4	46	0	1448	0.2	557
xl228	0.321208294	805	0.14	1726	0.230604147	1381	0.259027027	2711	0	4386	0.129513514	2948	0.246153846	755	0.133333333	1548	0.18974359	1192	0.260571429	1222	0.186666667	987	0.223619048	522
clomethiazole	0.320704946	806	0.15	1656	0.235352473	1346	0.345765475	1313	0.2	1405	0.272882738	1493	0	1826	0	2156	0	2663	0	2191	0	2091	0	2793
ceritinib	0.320355084	807	0.16	1531	0.240177542	1291	0.20972973	3002	0	2208	0.104864865	3109	0	1714	0	2083	0	2593	0	2092	0	1980	0	2711
stiripentol	0.319777203	808	0.15	1686	0.234888602	1347	0.242378378	2853	0	4018	0.121189189	3014	0.086666667	1019	0	3617	0.043333334	2088	0	4091	0	4079	0	4269
a-381393	0.319544808	809	0	2186	0.159772404	1997	0	3379	0	1664	0	3472	0.36	210	0.266666667	1322	0.313333334	387	0	1500	0	1415	0	2254
alizapride	0.319544808	810	0	2276	0.159772404	1998	0	3433	0	1758	0	3524	0.36	215	0.266666667	1323	0.313333334	388	0	1600	0	1512	0	2329
cgp-25454a	0.319544808	811	0	2695	0.159772404	1999	0	3704	0	2214	0	3785	0.36	220	0.266666667	1329	0.313333334	390	0	2106	0	1995	0	2722
isofloxythepin	0.319544808	812	0	3387	0.159772404	2000	0	4110	0	2975	0	4170	0.36	228	0.266666667	1342	0.313333334	392	0	2922	0	2870	0	3366
oxiperomide	0.319544808	813	0	3901	0.159772404	2001	0	4404	0	3537	0	4451	0.36	239	0.266666667	1355	0.313333334	393	0	3542	0	3477	0	3842
phenothiazine	0.319544808	814	0	3997	0.159772404	2002	0	4461	0	3638	0	4507	0.36	241	0.266666667	1360	0.313333334	394	0	3661	0	3595	0	3937
pridopidine	0.319544808	815	0	4054	0.159772404	2003	0	4504	0	3718	0	4545	0.36	244	0.266666667	1363	0.313333334	396	0	3753	0	3682	0	4002
sonepiprazole	0.319544808	816	0	4322	0.159772404	2004	0	4665	0	3996	0	4701	0.36	251	0.266666667	1368	0.313333334	397	0	4059	0	4046	0	4246
sultopride	0.319544808	817	0	4374	0.159772404	2005	0	4712	0	4051	0	4744	0.36	252	0.266666667	1370	0.313333334	398	0	4126	0	4107	0	4302
veralipride	0.319544808	818	0	4623	0.159772404	2006	0	4873	0	4328	0	4897	0.36	259	0.266666667	1377	0.313333334	399	0	4430	0	4410	0	4544
arry-334543	0.316696157	819	0	2377	0.158348079	2009	0.4	651	0	1860	0.2	1718	0	1359	0	1807	0	2332	0.260571429	1136	0	1645	0.130285715	1389
cp-724714	0.316696157	820	0	2796	0.158348079	2010	0.4	710	0	2338	0.2	1772	0	1864	0	2180	0	2688	0.260571429	1158	0	2121	0.130285715	1404
ferb-033	0.316696157	821	0	3116	0.158348079	2011	0.4	756	0	2680	0.2	1815	0	2293	0	2470	0	2987	0.260571429	1165	0	2512	0.130285715	1408
tak-285	0.316696157	822	0	4390	0.158348079	2012	0.4	976	0	4066	0.2	2023	0	3994	0	3647	0	4159	0.260571429	1209	0	4129	0.130285715	1439
tucatinib	0.316696157	823	0	4565	0.158348079	2013	0.4	1002	0	4266	0.2	2049	0	4209	0	3812	0	4319	0.260571429	1215	0	4346	0.130285715	1440
1-octanol	0.316097561	824	0	2133	0.158048781	2014	0.310486486	2031	0	1617	0.155243243	2741	0	1032	0	1586	0	2109	0	1442	0	1345	0	2208
acdpp	0.316097561	825	0.265	733	0.290548781	775	0.4	614	0.3	1255	0.35	735	0	1150	0.4	217	0.2	697	0.283428571	768	0	1446	0.141714286	1150
adx-10059	0.316097561	826	0.265	734	0.290548781	776	0.4	618	0	1727	0.2	1686	0	1191	0	1686	0	2217	0.283428571	773	0	1483	0.141714286	1153
adx-47273	0.316097561	827	0.265	735	0.290548781	777	0.4	619	0	1728	0.2	1687	0	1192	0	1687	0	2218	0.283428571	774	0	1484	0.141714286	1154
azd9272	0.316097561	828	0.265	736	0.290548781	778	0.4	660	0.3	1263	0.35	736	0	1432	0.4	282	0.2	742	0.283428571	796	0	1723	0.141714286	1165
basimglurant	0.316097561	829	0.265	737	0.290548781	779	0.4	664	0.3	1264	0.35	737	0	1455	0.4	286	0.2	746	0.283428571	801	0	1740	0.141714286	1167
bw-723c86	0.316097561	830	0.3	574	0.308048781	605	0.36972973	1098	0.2	1402	0.284864865	1462	0	1634	0	2016	0	2535	0.4	96	0	1899	0.2	603
carbenoxolone	0.316097561	831	0	2626	0.158048781	2015	0.321297297	1915	0	2130	0.160648649	2692	0	1662	0	2036	0	2554	0	2025	0	1929	0	2657
cdppb	0.316097561	832	0.265	738	0.290548781	780	0.4	692	0	2157	0.2	1755	0	1695	0	2059	0	2576	0.283428571	824	0	1958	0.141714286	1176
cgp-74514	0.316097561	833	0	2702	0.158048781	2016	0.310486486	2041	0	2220	0.155243243	2748	0.486153846	76	0	2094	0.243076923	575	0	2114	0	2002	0	2729
chpg	0.316097561	834	0.265	739	0.290548781	781	0.4	698	0	2255	0.2	1760	0	1768	0	2116	0	2627	0.283428571	828	0	2040	0.141714286	1178
cis-urocanic-acid	0.316097561	835	0.3	580	0.308048781	606	0.36972973	1099	0.2	1404	0.284864865	1463	0	1799	0	2137	0	2645	0.4	114	0	2068	0.2	617
ctep	0.316097561	836	0.265	740	0.290548781	782	0.4	713	0.3	1281	0.35	738	0	1885	0.4	374	0.2	812	0.283428571	840	0	2142	0.141714286	1184
cyclobenzaprine	0.316097561	837	0.3	588	0.308048781	607	0.735444015	38	0.2	1411	0.467722008	379	0	1898	0	2205	0	2708	0.4	124	0	2158	0.2	625
desmethylclozapine	0.316097561	838	0.55	131	0.433048781	185	0.36972973	1100	0	2435	0.184864865	2115	0	1984	0	2263	0	2770	0.4	132	0	2230	0.2	631
dfb	0.316097561	839	0.265	741	0.290548781	783	0.4	732	0	2450	0.2	1793	0	2001	0	2275	0	2785	0.283428571	851	0	2244	0.141714286	1190
dipraglurant	0.316097561	840	0.265	743	0.290548781	784	0.4	738	0	2491	0.2	1799	0	2053	0	2313	0	2822	0.283428571	855	0	2289	0.141714286	1192
dmeob	0.316097561	841	0.265	744	0.290548781	785	0.4	739	0	2497	0.2	1800	0	2064	0	2318	0	2828	0.283428571	858	0	2300	0.141714286	1193
fendiline	0.316097561	842	0.3	603	0.308048781	608	0.59220592	282	0	2672	0.29610296	1392	0	2282	0	2465	0	2982	0.4	171	0	2502	0.2	666
fenobam	0.316097561	843	0.265	745	0.290548781	786	0.4	755	0.3	1294	0.35	739	0	2284	0.4	436	0.2	863	0.283428571	875	0	2504	0.141714286	1198
lsn-2463359	0.316097561	844	0.265	746	0.290548781	787	0.4	834	0	3140	0.2	1891	0	2873	0	2860	0	3391	0.283428571	928	0	3046	0.141714286	1211
mavoglurant	0.316097561	845	0.265	747	0.290548781	788	0.4	848	0.3	1322	0.35	740	0	2931	0.4	557	0.2	949	0.283428571	933	0	3109	0.141714286	1213
norfluoxetine	0.316097561	846	0.3	644	0.308048781	609	0.491634492	490	0	3431	0.245817246	1568	0	3228	0	3088	0	3640	0.4	281	0	3358	0.2	764
org-12962	0.316097561	847	0.3	648	0.308048781	610	0.36972973	1101	0.2	1452	0.284864865	1464	0	3305	0	3166	0	3704	0.4	288	0	3450	0.2	770
ro-3306	0.316097561	848	0	4181	0.158048781	2017	0.310486486	2072	0	3842	0.155243243	2766	0.486153846	82	0	3441	0.243076923	579	0	3889	0	3842	0	4111
ro-60-0175	0.316097561	849	0.3	667	0.308048781	611	0.36972973	1102	0.2	1464	0.284864865	1465	0	3715	0	3442	0	3977	0.4	347	0	3844	0.2	819
sb-243213	0.316097561	850	0.3	675	0.308048781	612	0.358918919	1225	0.5	241	0.42945946	435	0	3809	0.4	729	0.2	1080	0.4	376	0	3931	0.2	846
sib-1757	0.316097561	851	0.265	749	0.290548781	789	0.4	957	0.3	1363	0.35	741	0	3873	0.4	747	0.2	1092	0.283428571	1022	0	4002	0.141714286	1245
tegaserod	0.316097561	852	0.3	680	0.308048781	613	0.358918919	1230	0.4	768	0.37945946	572	0	4058	0.4	788	0.2	1115	0.4	407	0	4196	0.2	874
terameprocol	0.316097561	853	0	4458	0.158048781	2018	0.321297297	1925	0	4142	0.160648649	2698	0.252307692	577	0	3712	0.126153846	1636	0	4226	0	4219	0	4385
vu0357121	0.316097561	854	0.265	751	0.290548781	790	0.4	1015	0	4348	0.2	2057	0	4310	0	3879	0	4390	0.283428571	1070	0	4441	0.141714286	1269
vu0360172	0.316097561	855	0.265	752	0.290548781	791	0.4	1016	0	4349	0.2	2058	0	4311	0	3880	0	4391	0.283428571	1071	0	4442	0.141714286	1270
vu1545	0.316097561	856	0.265	753	0.290548781	792	0.4	1019	0	4355	0.2	2061	0	4319	0	3886	0	4397	0.283428571	1072	0	4450	0.141714286	1271
