drug name	indication
clofibrate	hyperlipidemia
clofibrate	cholesterol
clofibric-acid	hyperlipidemia
clofoctol	gram-positive bacterial infections
clomethiazole	Parkinson's Disease
clomethiazole	sedative
clomethiazole	muscle relaxant
clomifene	infertility
clomipramine	obsessive compulsive disorder (OCD)
clonidine	hypertension
clonidine	attention-deficit/hyperactivity disorder (ADHD)
clonixin	rheumatoid arthritis
clonixin	soft tissue infection
clonixin-lysinate	pain relief
clopamide	hypertension
cloperastine	cough suppressant
clopidogrel	myocardial infarction
clopidogrel	stroke
clopidogrel	peripheral artery disease (PAD)
clopidogrel	acute coronary syndrome (ACS)
clopidol	coccidiosis
cloprostenol-(+/-)	endometriosis
cloranolol	hypertension
clorotepine	psychosis
clorprenaline	asthma
clorsulon	gastrointestinal roundworms
clorsulon	lungworms
clorsulon	liver flukes
clorsulon	lice
clorsulon	mites
closantel	liver flukes
clotiapine	psychosis
clotrimazole	vulvovaginal candidiasis
clotrimazole	oropharyngeal candidiasis
cloxacillin	gram-positive bacterial infections
clozapine	schizophrenia
cobicistat	human immunodeficiency virus (HIV-1)
cobimetinib	melanoma
colchicine	gout
colchicine	fever
colfosceril-palmitate	respiratory distress syndrome (RDS)
colistimethate	gram-negative bacterial infections
colistin	gram-negative bacterial infections
colistin	gram-negative bacterial infections
conivaptan	hyponatremia
copanlisib	follicular lymphoma
cortisone	ulcerative colitis
cortisone	rheumatoid arthritis
cortisone	psoriasis
cortisone	joint inflammation
cortisone	eczema
cortisone-acetate	asthma
cortisone-acetate	rheumatoid arthritis
cortisone-acetate	urticaria
cortisone-acetate	osteoarthritis
cortisone-acetate	psoriasis
cortisone-acetate	allergic rhinitis
cortisone-acetate	conjunctivitis
cortisone-acetate	ulcerative colitis
cortisone-acetate	meningitis
coumarin	ulcerative colitis
coumarin	asthma
coumarin	celiac disease
cridanimod	influenza A virus infection
crisaborole	dermatitis
crizotinib	non-small cell lung cancer (NSCLC)
croconazole	fungal infection
cromoglicic-acid	asthma
cromoglicic-acid	conjunctivitis
cromoglicic-acid	urticaria
cromoglicic-acid	ulcerative colitis
crotamiton	scabies
cyamemazine	schizophrenia
cyamemazine	anxiety
cyanocobalamin	anemia
cyanocobalamin	fish tapeworm infestation
cyanocobalamin	celiac disease
cyclandelate	claudication
cyclandelate	arteriosclerosis
cyclandelate	Raynaud's disease
cyclizine	nausea
cyclizine	vomiting
cyclizine	vertigo
cyclizine	motion sickness
cyclobenzaprine	spasms
cyclopenthiazide	hypertension
cyclopenthiazide	congestive heart failure
cyclopentolate	mydriasis
cyclopentolate	cycloplegia
cyclophosphamide	Hodgkin's lymphoma
cyclophosphamide	small lymphocytic lymphoma (SLL)
cyclophosphamide	breast cancer
cyclophosphamide	neuroblastoma
cyclophosphamide	Burkitt's lymphoma
cyclophosphamide	multiple myeloma
cyclophosphamide	chronic lymphocytic leukemia (CLL)
cyclophosphamide	acute myeloid leukemia (AML)
cyclophosphamide	acute lymphoblastic leukemia (ALL)
cyclophosphamide	chronic myeloid leukemia (CML)
cyclophosphamide	true histiocytic lymphoma (THL)
cyclophosphamide	retinoblastoma
cyclophosphamide	ovarian cancer
cycloserine-(d)	tuberculosis
cycloserine-(d)	tuberculosis
cyclosporin-a	rheumatoid arthritis
cyclosporin-a	psoriasis
cyclothiazide	hypertension
cyclovalone	bile stimulation
cypermethrin	flea control
cyproheptadine	allergic rhinitis
cyproheptadine	vasomotor rhinitis
cyproheptadine	conjunctivitis
cyproheptadine	urticaria
cyproheptadine	dermatographism
cyproterone-acetate	prostate cancer
cysteamine	cystinosis
cytarabine	acute lymphoblastic leukemia (ALL)
cytarabine	chronic lymphocytic leukemia (CLL)
cytarabine	acute myeloid leukemia (AML)
cytarabine	non-Hodgkin lymphoma (NHL)
cytisine	nicotinism
dabigatran	stroke
dabigatran	systemic embolism
dabigatran	pulmonary embolism (PE)
dabigatran	deep vein thrombosis (DVT)
dabigatran-etexilate	stroke
dabigatran-etexilate	systemic embolism
dabigatran-etexilate	pulmonary embolism (PE)
dabigatran-etexilate	deep vein thrombosis (DVT)
dabrafenib	melanoma
dacarbazine	melanoma
dacarbazine	Hodgkin's lymphoma
daclatasvir	hepatitis C
dactinomycin	testicular carcinoma
dactinomycin	Wilm's tumor
dactinomycin	rhabdomyosarcoma
dactinomycin	Ewing's sarcoma
dactinomycin	gestational trophoblastic disease (GTD)
dalbavancin	skin infections
dalfampridine	multiple sclerosis
danazol	endometriosis
danazol	angioedema
danofloxacin	bovine respiratory disease (BRD)
dantrolene	spasms
dantrolene	malignant hyperthermia (MH)
dapagliflozin	diabetes mellitus
dapiprazole	mydriasis
dapoxetine	premature ejaculation (PE)
dapsone	dermatitis herpetiformis (DH)
dapsone	leprosy
daptomycin	skin infections
daptomycin	endocarditis
darifenacin	urinary incontinence
darolutamide	prostate cancer
darunavir	human immunodeficiency virus (HIV-1)
dasabuvir	hepatitis C
dasatinib	chronic myeloid leukemia (CML)
dasatinib	acute lymphoblastic leukemia (ALL)
daunorubicin	acute myeloid leukemia (AML)
daunorubicin	acute lymphoblastic leukemia (ALL)
debrisoquin	hypertension
decamethonium	muscle relaxant
decitabine	myelodysplastic diseases (MDS)
decitabine	anemia
decitabine	chronic myeloid leukemia (CML)
decoquinate	coccidiosis
deferasirox	transfusional hemosiderosis
deferasirox	thalassemia
deferasirox	iron overload
deferiprone	transfusional hemosiderosis
deferiprone	thalassemia
deferiprone	iron overload
deferoxamine-mesylate	acute iron intoxication
deferoxamine-mesylate	iron overload
deflazacort	joint inflammation
degarelix	prostate cancer
dehydroepiandrosterone	menopause
dehydroepiandrosterone-sulfate	menopause
delamanid	tuberculosis
delapril	hypertension
delavirdine	human immunodeficiency virus (HIV-1)
delivert	sepsis
demecarium	intraocular pressure
demecarium	glaucoma
demeclocycline	fever
demeclocycline	respiratory tract infections
demeclocycline	psittacosis
demeclocycline	trachoma
demeclocycline	conjunctivitis
demeclocycline	urethritis
demeclocycline	chancroid
demeclocycline	cholera
demeclocycline	syphilis
demeclocycline	listeria
demeclocycline	anthrax
demeclocycline	actinomycosis
demeclocycline	tularemia
demeclocycline	brucellosis
denopamine	angina pectoris
denotivir	virus herpes simplex (HSV)
denotivir	skin infections
deoxycholic-acid	submental fat
dequalinium	first-aid antiseptic
deracoxib	osteoarthritis
deserpidine	hypertension
desipramine	depression
desisobutyryl-ciclesonide	allergic rhinitis
deslanoside	congestive heart failure
deslanoside	cardiac arrythmia
desloratadine	allergic rhinitis
desloratadine	urticaria
desmopressin-acetate	central diabetes insipidus
desmopressin-acetate	nocturnal enuresis
desogestrel	contraceptive
desonide	Crohn's disease
desoximetasone	corticosteroid-responsive dermatoses
desoxycorticosterone-pivalate	Addison's disease
desvenlafaxine	depression
detomidine	sedative
dexamethasone	hypercalcemia
dexamethasone	rheumatoid arthritis
dexamethasone	psoriatic arthritis
dexamethasone	osteoarthritis
dexamethasone	allergic rhinitis
dexamethasone	ulcerative colitis
dexamethasone	anemia
dexamethasone	multiple sclerosis
dexamethasone	enteritis
dexamethasone	lupus
dexamethasone	dermatitis herpetiformis (DH)
dexamethasone	nephrotic syndrome
dexamethasone	psoriasis
dexamethasone-acetate	hypercalcemia
dexamethasone-acetate	rheumatoid arthritis
dexamethasone-acetate	psoriatic arthritis
dexamethasone-acetate	osteoarthritis
dexamethasone-acetate	allergic rhinitis
dexamethasone-acetate	ulcerative colitis
dexamethasone-acetate	anemia
dexamethasone-acetate	multiple sclerosis
dexamethasone-acetate	enteritis
dexamethasone-acetate	lupus
dexamethasone-acetate	dermatitis herpetiformis (DH)
dexamethasone-acetate	nephrotic syndrome
dexamethasone-acetate	psoriasis
dexchlorpheniramine	allergic conjunctivitis
dexchlorpheniramine	allergic rhinitis
dexchlorpheniramine	urticaria
dexchlorpheniramine	angioedema
dexlansoprazole	gastroesophageal reflux disease (GERD)
dexlansoprazole	erosive esophagitis (EE)
dexmedetomidine	sedative
dexpanthenol	paralytic ileus
dexrazoxane	cardiomyopathy
dextran	thrombosis
dextran	hypovolemia
dextromethorphan	cough suppressant
dextrose	hypoglycemia
diacerein	osteoarthritis
diatrizoic-acid	contrast agent
diaveridine	coccidiosis
diazoxide	hypoglycemia
dibekacin	gram-negative bacterial infections
dichlorophen	hookworm
dichlorophen	tapeworm
diclazuril	equine protozoal myeloencephalitis (EPM)
diclofenac	rheumatoid arthritis
diclofenac	osteoarthritis
diclofenac	migraine headache
diclofenamide	glaucoma
diclofenamide	epilepsy
dicloxacillin	gram-positive bacterial infections
dicoumarol	deep vein thrombosis (DVT)
dicycloverine	irritable bowel syndrome
didanosine	human immunodeficiency virus (HIV-1)
didox	breast cancer
dienestrol	menopause
dienogest	contraceptive
dienogest	endometriosis
diethylcarbamazine	filariasis
diethyltoluamide	sunscreen lotion
difenpiramide	pain relief
diflorasone-diacetate	corticosteroid-responsive dermatoses
difloxacin	skin infections
difloxacin	urinary tract infections
diflunisal	rheumatoid arthritis
diflunisal	osteoarthritis
difluprednate	endogenous uveitis
diftalone	thyroiditis
digitoxin	congestive heart failure
digitoxin	cardiac arrythmia
digoxin	congestive heart failure
digoxin	atrial fibrillation (AF)
dihydroartemisinin	malaria
dihydroergocristine	senile dementia
dihydroergocristine	cerebrovascular insufficiency
dihydroergotamine	migraine headache
dihydrotachysterol	rickets
dihydrotachysterol	hypocalcemia
dihydrotachysterol	osteomalacia
dihydroxyacetone	skin protectant
dilazep	coronary heart disease
diloxanide	amebiasis
diltiazem	hypertension
diltiazem	angina pectoris
dimemorfan	cough suppressant
dimenhydrinate	motion sickness
dimenhydrinate	nausea
dimenhydrinate	vomiting
dimercaprol	metal toxicity
dimercaptosuccinic-acid	metal toxicity
dimethicone	cosmetic
dimethisoquin	local anesthetic
dimethyl-fumarate	multiple sclerosis
dimetindene	allergic rhinitis
dimetridazole	protozoan infection
dimpylate	flea control
dinitolmide	coccidiosis
dinoprost	labor induction
diosmetin	cosmetic
diosmin	chronic venous insufficiency (CVI)
diosmin	edema
diosmin	deep vein thrombosis (DVT)
diosmin	statis dermatitis
diosmin	heavy leg syndrome
diphemanil	spasms
diphenhydramine	headache
diphenidol	vertigo
diphenylpyraline	allergic rhinitis
dipivefrine	glaucoma
dipivefrine	intraocular pressure
dipyridamole	coronary artery disease (CAD)
dipyridamole	peripheral artery disease (PAD)
dipyridamole	hypertension
dipyrocetyl	fever
dipyrocetyl	pain relief
dirithromycin	bronchitis
disopyramide	ventricular tachycardia (VT)
disopyramide	ventricular arrhythmias
disulfiram	abstinence from alcohol
dithranol	psoriasis
dobutamine	congestive heart failure
docetaxel	breast cancer
docetaxel	non-small cell lung cancer (NSCLC)
docetaxel	prostate cancer
docetaxel	gastric adenocarcinoma
docetaxel	head and neck squamous cell carcinoma (HNSCC)
doconexent-ethyl-ester	hypertriglyceridemia
docosanol	cold sore
docusate	constipation
dolasetron	nausea
dolasetron	vomiting
dolutegravir	human immunodeficiency virus (HIV-1)
domperidone	fescue toxicosis
donepezil	Alzheimer's disease
dopamine	ventricular arrhythmias
dopamine	depression
dopamine	headache
dopamine	tremors
doramectin	gastrointestinal roundworms
doripenem	intra-abdominal infections
doripenem	urinary tract infections
doripenem	pyelonephritis
dorzolamide	intraocular pressure
dorzolamide	glaucoma
dosulepin	depression
doxapram	respiratory depression
doxapram	central nervous system depression
doxapram	acute hypercapnia (AHC)
doxazosin	benign prostatic hyperplasia (BPH)
doxazosin	hypertension
doxepin	depression
doxepin	anxiety
doxercalciferol	chronic kidney disease (CKD)
doxercalciferol	hyperparathyroidism
doxifluridine	colorectal cancer
doxofylline	asthma
doxorubicin	acute lymphoblastic leukemia (ALL)
doxorubicin	acute myeloid leukemia (AML)
doxorubicin	Wilm's tumor
doxorubicin	breast cancer
doxorubicin	ovarian cancer
doxorubicin	Hodgkin's lymphoma
doxorubicin	bladder cancer
doxorubicin	multiple myeloma
doxycycline	periodontitis
doxylamine	sedative
drofenine	spasms
dromostanolone-propionate	breast cancer
dronedarone	atrial fibrillation (AF)
droperidol	nausea
droperidol	vomiting
dropropizine	cough suppressant
drospirenone	contraceptive
drotaverine	labor induction
droxicam	rheumatoid arthritis
droxicam	osteoarthritis
droxidopa	hypertension
droxidopa	Parkinson's Disease
duloxetine	depression
duloxetine	generalized anxiety disorder (GAD)
duloxetine	muscle pain
duloxetine	peripheral neuropathy
dutasteride	benign prostatic hyperplasia (BPH)
dyclonine	local anesthetic
dydrogesterone	infertility
dyphylline	asthma
dyphylline	bronchitis
dyphylline	emphysema
ebastine	allergic rhinitis
ebastine	urticaria
ecabet	dry eye syndrome
ecamsule-triethanolamine	skin protectant
ecamsule-triethanolamine	sunscreen lotion
econazole	tinea pedis
econazole	tinea cruris
econazole	tinea corporis
econazole	tinea versicolor
econazole	cutaneous candidiasis
edaravone	stroke
edoxaban	stroke
edoxaban	pulmonary embolism (PE)
edoxaban	systemic embolism
edoxaban	deep vein thrombosis (DVT)
edoxaban	atrial fibrillation (AF)
edoxudine	virus herpes simplex (HSV)
edrophonium	myasthenia gravis
efavirenz	human immunodeficiency virus (HIV-1)
efinaconazole	onychomycosis
eflornithine	facial hair reduction
efonidipine	hypertension
elbasvir	hepatitis C
eletriptan	migraine headache
eliglustat	Gaucher disease
eltrombopag	anemia
eltrombopag	hepatitis C
eltrombopag	thrombocytopenia
eluxadoline	irritable bowel syndrome
elvitegravir	human immunodeficiency virus (HIV-1)
emedastine	conjunctivitis
emorfazone	mouth inflammation
empagliflozin	diabetes mellitus
emtricitabine	human immunodeficiency virus (HIV-1)
enalapril	hypertension
enalapril	congestive heart failure
enalapril	left ventricular systolic dysfunction (LVSD)
enalaprilat	hypertension
enasidenib	acute myeloid leukemia (AML)
enbucrilate	skin lacerations
enbucrilate	tissue adhesive
encorafenib	melanoma
enflurane	anesthetic
enilconazole	skin infections
enocitabine	acute myeloid leukemia (AML)
enoxacin	urinary tract infections
enoxacin	gonorrhea
enoximone	congestive heart failure
enoxolone	peptic ulcer disease (PUD)
enoxolone	common cold
enrofloxacin	gram-negative bacterial infections
entacapone	Parkinson's Disease
entecavir	hepatitis B
entrectinib	non-small cell lung cancer (NSCLC)
enzalutamide	prostate cancer
epalrestat	diabetic nephropathy
eperisone	amyotrophic lateral sclerosis (ALS)
eperisone	spasms
eperisone	head injury
eperisone	spinal injury
ephedrine	hypotension
ephedrine	asthma
ephedrine	narcolepsy
ephedrine	obesity
ephedrine-(racemic)	hypotension
ephedrine-(racemic)	asthma
ephedrine-(racemic)	narcolepsy
ephedrine-(racemic)	obesity
epinastine	conjunctivitis
epinephrine	cardiac arrest
epinephrine	anaphylactic shock
epinephrine	asthma
epirizole	pain relief
epirubicin	breast cancer
epitiostanol	breast cancer
eplerenone	congestive heart failure
eplerenone	hypertension
epomediol	itching
epoprostenol	hypertension
eprazinone	bronchospasm
eprinomectin	gastrointestinal roundworms
eprinomectin	lungworms
eprobemide	depression
eprosartan	hypertension
eptifibatide	acute coronary syndrome (ACS)
eptifibatide	percutaneous coronary intervention (PCI)
erdosteine	bronchitis
erdosteine	cough suppressant
erdosteine	chronic obstructive pulmonary disease (COPD)
erdosteine	respiratory tract infections
ergocalciferol	hypoparathyroidism
ergocalciferol	rickets
ergocalciferol	hypophosphatemia
ergonovine	postpartum hemorrhage (PPH)
ergotamine	migraine headache
eribulin	breast cancer
erlotinib	non-small cell lung cancer (NSCLC)
erlotinib	pancreatic cancer
ertapenem	intra-abdominal infections
ertapenem	skin infections
ertapenem	pneumonia
ertapenem	urinary tract infections
ertapenem	gynecologic infections
ertapenem	postpartum endomyometritis
ertugliflozin	diabetes mellitus
erythromycin	listeria
erythromycin	respiratory tract infections
erythromycin	skin infections
erythromycin	syphilis
erythromycin	amebiasis
erythromycin	pelvic inflammatory disease
erythromycin	chlamydia
erythromycin	diphtheria
erythromycin	erythrasma
erythromycin-estolate	listeria
erythromycin-estolate	respiratory tract infections
erythromycin-estolate	skin infections
erythromycin-estolate	syphilis
erythromycin-estolate	amebiasis
erythromycin-estolate	pelvic inflammatory disease
erythromycin-estolate	chlamydia
erythromycin-estolate	diphtheria
erythromycin-estolate	erythrasma
erythromycin-ethylsuccinate	listeria
erythromycin-ethylsuccinate	respiratory tract infections
erythromycin-ethylsuccinate	skin infections
erythromycin-ethylsuccinate	syphilis
erythromycin-ethylsuccinate	amebiasis
erythromycin-ethylsuccinate	pelvic inflammatory disease
erythromycin-ethylsuccinate	chlamydia
erythromycin-ethylsuccinate	diphtheria
erythromycin-ethylsuccinate	erythrasma
escin	varicose veins
escitalopram	depression
escitalopram	generalized anxiety disorder (GAD)
eslicarbazepine-acetate	seizures
esmolol	ventricular tachycardia (VT)
esmolol	hypertension
esomeprazole	gastroesophageal reflux disease (GERD)
esomeprazole	Zollinger-Ellison syndrome
esomeprazole	peptic ulcer disease (PUD)
estradiol	contraceptive
estradiol-acetate	menopause
estradiol-acetate	vaginal atrophy
estradiol-cypionate	hypoestrogenism
estradiol-cypionate	menopause
estradiol-valerate	prostate cancer
estradiol-valerate	hypoestrogenism
estradiol-valerate	menopause
estradiol-valerate	vaginal atrophy
estramustine	prostate cancer
estramustine-phosphate	prostate cancer
estriol	menopause
estriol	vaginal atrophy
estriol	urinary tract infections
estrone	menopause
estropipate	osteoporosis
estropipate	menopause
estropipate	vaginal atrophy
estropipate	hypoestrogenism
etacrynic-acid	hypertension
etacrynic-acid	congestive heart failure
etacrynic-acid	edema
etacrynic-acid	hepatic cirrhosis
etacrynic-acid	chronic renal failure
etacrynic-acid	nephrotic syndrome
etamsylate	hemorrhage
ethacizin	ventricular tachycardia (VT)
ethacizin	Wolff-Parkinson-White Syndrome (WPW)
ethambutol	tuberculosis
ethanolamine-oleate	esophageal varices
ethaverine	muscle relaxant
ethaverine	spasms
ethenzamide	headache
ethenzamide	fever
ethenzamide	common cold
ethinyl-estradiol	contraceptive
ethionamide	tuberculosis
ethisterone	amenorrhea
ethopabate	coccidiosis
ethosuximide	epilepsy
ethotoin	seizures
ethoxzolamide	glaucoma
ethoxzolamide	duodenal ulcer disease
ethylenediaminetetraacetic-acid	metal toxicity
ethynodiol-diacetate	contraceptive
etidronic-acid	Paget's disease
etidronic-acid	heterotopic ossification
etifoxine	anxiety
etilefrine	headache
etilefrine	nasal congestion
etilefrine	fever
etilefrine	cough suppressant
etilefrine	common cold
etizolam	insomnia
etizolam	anxiety
etodolac	osteoarthritis
etodolac	rheumatoid arthritis
etofenamate	muscle pain
etofenamate	joint pain
etofibrate	hypertriglyceridemia
etofylline	asthma
etofylline	bronchitis
etofylline-clofibrate	hyperlipidemia
etomidate	general anaesthetic
etonogestrel	contraceptive
etoposide	non-small cell lung cancer (NSCLC)
etoposide-phosphate	testicular carcinoma
etoposide-phosphate	small cell lung cancer
etoricoxib	rheumatoid arthritis
etoricoxib	psoriatic arthritis
etoricoxib	osteoarthritis
etoricoxib	gout
etoricoxib	ankylosing spondylitis
etravirine	human immunodeficiency virus (HIV-1)
eucalyptol	gingivitis
eugenol	toothache
everolimus	breast cancer
everolimus	neuroendocrine tumors of pancreatic origin (PNET)
everolimus	renal cell carcinoma (RCC)
everolimus	subependymal giant cell astrocytoma (SEGA)
everolimus	tuberous sclerosis complex (TSC)
everolimus	renal angiomyolipoma
exemestane	breast cancer
exenatide	diabetes mellitus
ezetimibe	hyperlipidemia
ezetimibe	hypercholesterolemia
ezetimibe	sitosterolemia
fadrozole	breast cancer
falecalcitriol	hyperparathyroidism
famciclovir	cold sore
famciclovir	genitial herpes
famciclovir	shingles
famotidine	heartburn
faropenem	pneumonia
faropenem	bronchitis
faropenem	skin infections
faropenem	urinary tract infections
faropenem	sinusitis
faropenem-medoxomil	sinusitis
faropenem-medoxomil	pneumonia
faropenem-medoxomil	bronchitis
faropenem-medoxomil	skin infections
faropenem-medoxomil	urinary tract infections
fasudil	cerebral vasospasm
febuxostat	hyperuricemia
fedratinib	myelofibrosis
felbamate	epilepsy
felbinac	rheumatoid arthritis
felbinac	muscle pain
felodipine	hypertension
fenbendazole	gastrointestinal parasites
fenbendazole	gastrointestinal roundworms
fenbufen	pain relief
fenigam	posttraumatic stress disorder
fenigam	anxiety
fenigam	depression
fenipentol	bile stimulation
fenofibrate	hypercholesterolemia
fenofibrate	hypertriglyceridemia
fenofibric-acid	dyslipidemia
fenoldopam	hypertension
fenoprofen	rheumatoid arthritis
fenoprofen	osteoarthritis
fenoverine	spasms
fenspiride	asthma
fenspiride	otitis
fenspiride	sinusitis
fenspiride	rhinopharyngitis
fenspiride	laryngitis
fentiazac	muscle pain
fentiazac	joint pain
fenticonazole	vulvovaginal candidiasis
fesoterodine	urinary incontinence
fexofenadine	allergic rhinitis
fexofenadine	urticaria
fidaxomicin	diarrhea
fimasartan	hypertension
fimasartan	congestive heart failure
finafloxacin	intra-abdominal infections
finafloxacin	chronic obstructive pulmonary disease (COPD)
finafloxacin	cystic fibrosis
finasteride	androgenetic alopecia
fingolimod	multiple sclerosis
fipronil	flea control
firocoxib	osteoarthritis
flavoxate	urinary incontinence
flavoxate	interstitial cystitis (IC)
flavoxate	urethritis
flavoxate	prostatitis
flecainide	ventricular tachycardia (VT)
flecainide	atrial fibrillation (AF)
flecainide	ventricular arrhythmias
fleroxacin	gonorrhea
fleroxacin	enteritis
fleroxacin	diarrhea
fleroxacin	respiratory tract infections
flibanserin	hypoactive sexual desire disorder
floctafenine	pain relief
flopropione	spasms
florfenicol	bovine respiratory disease (BRD)
floxuridine	colorectal cancer
flubendazole	gastrointestinal parasites
flucloxacillin	gram-positive bacterial infections
flucloxacillin	tonsillitis
flucloxacillin	sinusitis
flucloxacillin	pneumonia
flucloxacillin	eczema
flucloxacillin	endocarditis
flucloxacillin	meningitis
flucloxacillin	enteritis
flucloxacillin	bacterial septicemia
fluconazole	esophageal candidiasis
fluconazole	meningitis
flucytosine	bacterial septicemia
flucytosine	endocarditis
flucytosine	urinary tract infections
flucytosine	meningitis
fludarabine	chronic lymphocytic leukemia (CLL)
fludarabine-phosphate	chronic lymphocytic leukemia (CLL)
fludrocortisone-acetate	Addison's disease
fludrocortisone-acetate	adrenogenital syndrome
fludroxycortide	skin infections
fludroxycortide	psoriasis
flumazenil	sedative
flumequine	urinary tract infections
flumethasone	otitis
flumethasone	ear infections
flumethasone	corticosteroid-responsive dermatoses
flumethasone-pivalate	allergic rhinitis
flunarizine	migraine headache
flunarizine	vertigo
flunarizine	peripheral artery disease (PAD)
flunisolide	allergic rhinitis
flunixin-meglumin	bovine respiratory disease (BRD)
fluocinolone-acetonide	seborrheic dermatitis
fluocinonide	seborrheic dermatitis
fluocinonide	eczema
fluorescein	ophthalmology diagnostic
fluorometholone	eye inflammation
fluorometholone-acetate	eye inflammation
fluoxetine	depression
fluoxetine	obsessive compulsive disorder (OCD)
fluoxetine	bulimia nervosa
fluoxetine	panic disorders
fluoxetine	bipolar disorder
flupentixol	schizophrenia
flupentixol	depression
fluphenazine	schizophrenia
fluphenazine-decanoate	schizophrenia
flupirtine	pain relief
flurbiprofen-(+/-)	rheumatoid arthritis
flurbiprofen-(+/-)	osteoarthritis
flurbiprofen-(s)-(+)	rheumatoid arthritis
flurbiprofen-(s)-(+)	osteoarthritis
fluspirilene	schizophrenia
flutamide	prostate cancer
fluticasone-propionate	corticosteroid-responsive dermatoses
flutrimazole	mycosis
fluvastatin	hypercholesterolemia
fluvastatin	congenital heart defects
fluvoxamine	obsessive compulsive disorder (OCD)
folic-acid	megaloblastic anemia
fomepizole	poison antidote
fomocaine	local anesthetic
fondaparinux	deep vein thrombosis (DVT)
formestane	breast cancer
formoterol	asthma
formoterol	chronic obstructive pulmonary disease (COPD)
formoterol	bronchospasm
forodesine	peripheral T-cell lymphoma (PTCL)
fosamprenavir	human immunodeficiency virus (HIV-1)
fosaprepitant-dimeglumine	nausea
fosaprepitant-dimeglumine	vomiting
foscarnet	cytomegalovirus retinitis
foscarnet	acquired immunodeficiency syndrome (AIDS)
foscarnet	virus herpes simplex (HSV)
fosfestrol	prostate cancer
fosfomycin	urinary tract infections
fosfosal	pain relief
fosinopril	hypertension
fosinopril	congestive heart failure
fosinoprilat	hypertension
fosphenytoin	epilepsy
fosphenytoin	seizures
fostamatinib	chronic immune thrombocytopenia (ITP)
fotemustine	melanoma
frovatriptan	migraine headache
fruquintinib	colorectal cancer
ftorafur	colorectal cancer
fudosteine	chest congestion
fulvestrant	breast cancer
fumagillin	microsporidiosis
furaltadone	gram-negative bacterial infections
furazolidone	diarrhea
furazolidone	enteritis
furazolidone	cholera
furosemide	edema
furosemide	hypertension
furosemide	congestive heart failure
furosemide	nephrotic syndrome
fursultiamine	thiamine deficiency
fusidic-acid	acne vulgaris (AV)
gabapentin	virus herpes simplex (HSV)
gabapentin	shingles
gabapentin	seizures
gabapentin	restless leg syndrome
gabapentin-enacarbil	restless leg syndrome
gabapentin-enacarbil	postherpetic neuralgia
gabexate	pancreatitis
gadobutrol	MRI contrast agent
gadodiamide	MRI contrast agent
gadopentetic-acid	contrast agent
gadoterate-meglumine	MRI contrast agent
gadoteridol	MRI contrast agent
galantamine	senile dementia
gallamine-triethiodide	muscle relaxant
gallopamil	hypertension
gallopamil	cardiac arrythmia
ganciclovir	cytomegalovirus (CMV)
garenoxacin	respiratory tract infections
gefitinib	non-small cell lung cancer (NSCLC)
gemcitabine	ovarian cancer
gemcitabine	breast cancer
gemcitabine	non-small cell lung cancer (NSCLC)
gemcitabine	pancreatic cancer
gemfibrozil	hyperlipidemia
gemfibrozil	coronary heart disease
gemifloxacin	bronchitis
gemifloxacin	pneumonia
gentamycin	bone and joint infections
gentamycin	endocarditis
gentamycin	pelvic inflammatory disease
gentamycin	meningitis
gentamycin	pneumonia
gentamycin	urinary tract infections
gentamycin	sepsis
gepefrine	hypotension
gestodene	contraceptive
gestrinone	endometriosis
gimeracil	gastric adenocarcinoma
glasdegib	acute myeloid leukemia (AML)
glecaprevir	hepatitis C
gliclazide	diabetes mellitus
glimepiride	diabetes mellitus
glipizide	diabetes mellitus
glipizide	hyperglycemia
gliquidone	diabetes mellitus
glucosamine	muscle pain
glucosamine	rheumatoid arthritis
glucosamine	joint pain
glucosamine	backache
glyburide	diabetes mellitus
glyburide	hyperglycemia
glycopyrrolate	peptic ulcer disease (PUD)
gonadorelin	cystic ovaries
gonadorelin	reproductive synchrony
goserelin-acetate	prostate cancer
goserelin-acetate	breast cancer
goserelin-acetate	endometriosis
gramicidin	first-aid antibiotic
granisetron	nausea
granisetron	vomiting
grapiprant	osteoarthritis
grazoprevir	hepatitis C
griseofulvin	ringworm
griseofulvin	tinea pedis
guacetisal	cough suppressant
guaiacol	cough suppressant
guaifenesin	cough suppressant
guanaben-acetate	hypertension
guanadrel	hypertension
guanethidine	hypertension
guanfacine	hypertension
guanidine	Lambert-Eaton myasthenic syndrome (LEMS)
halazone	disinfectant
halcinonide	corticosteroid-responsive dermatoses
halobetasol-propionate	corticosteroid-responsive dermatoses
halofantrine	malaria
halofuginone	scleroderma
haloperidol	schizophrenia
haloperidol	Tourette's disorder
haloperidol-decanoate	schizophrenia
haloprogin	tinea pedis
halothane	general anaesthetic
hematoporphyrin	depression
hematoporphyrin	psychosis
hemin	acute intermittent porphyria (AIP)
hemin	hypertension
hemin	ventricular tachycardia (VT)
heptaminol	hypotension
hetacillin	mastitis
hexachlorophene	gram-positive bacterial infections
hexaminolevulinate	diagnostic agent
hexestrol	hypoestrogenism
hexetidine	pharyngitis
hexetidine	meningitis
hexetidine	laryngitis
hexetidine	gingivitis
hexetidine	ulcerative colitis
hexoprenaline	asthma
hexylcaine	local anesthetic
hexylresorcinol	skin infections
hexylresorcinol	first-aid antiseptic
histamine	allergic rhinitis
homatropine	uveal tract inflammation
homatropine	pupil dilation
homatropine-methylbromide	uveal tract inflammation
